Representative 1	Representative 2	Co-expression Pearson r	Representative 2 type	Representative 2 annotation	Functional category
OM-RGC.v2.000094350	0YCG8	0.953729843	OG	Protein of unknown function (DUF3589)	Function unknown
OM-RGC.v2.000664870	10S8B	0.952637403	OG	von Willebrand factor D and EGF	Function unknown
OM-RGC.v2.037941020	0YSJA	0.952314832	OG		Function unknown
OM-RGC.v2.007961420	0Z0A7	0.95221151	OG	glyoxalase bleomycin resistance protein dioxygenase	Function unknown
OM-RGC.v2.038754546	12CIW	0.951601927	OG	Membrane bound regulatory protein	Function unknown
OM-RGC.v2.025955873	0YS1W	0.950562271	OG		Function unknown
OM-RGC.v2.038115468	COG4900	0.950108791	OG	Predicted metallopeptidase	Function unknown
OM-RGC.v2.035857815	0ZY7V	0.949834167	OG		Function unknown
OM-RGC.v2.011033352	0YWAH	0.949805522	OG		Function unknown
OM-RGC.v2.000305442	11YRA	0.949504468	OG		Function unknown
OM-RGC.v2.025344130	0ZS1I	0.948679795	OG	Nucleotidyl transferase of unknown function (DUF1814)	Function unknown
OM-RGC.v2.009290599	0XWBU	0.948010841	OG		Function unknown
OM-RGC.v2.034626933	0YSW2	0.946795756	OG	Major Facilitator Superfamily	Function unknown
OM-RGC.v2.009080886	0XTZ4	0.945789185	OG		Function unknown
OM-RGC.v2.011715193	0YAU1	0.945523059	OG		Function unknown
OM-RGC.v2.000808402	0ZGTV	0.945246541	OG		Function unknown
OM-RGC.v2.035162822	111RB	0.945201998	OG		Function unknown
OM-RGC.v2.027675550	110MX	0.945112096	OG		Function unknown
OM-RGC.v2.030537001	110XH	0.943603175	OG		Function unknown
OM-RGC.v2.012552841	0ZAB1	0.942806907	OG		Function unknown
OM-RGC.v2.039914955	1223Q	0.942754858	OG	Membrane-bound metal-dependent hydrolase	Function unknown
OM-RGC.v2.012151048	0Z191	0.942513924	OG	Toxic component of a toxin-antitoxin (TA) module. A	Function unknown
OM-RGC.v2.008626963	0Y5G8	0.942230654	OG		Function unknown
OM-RGC.v2.041244230	110V4	0.942183103	OG		Function unknown
OM-RGC.v2.037952989	110P6	0.942066753	OG	Protein of unknown function (DUF2029)	Function unknown
OM-RGC.v2.036464444	COG2100	0.941791393	OG	"Uncharacterized Fe-S cluster-containing enzyme, radical SAM superfamily"	Function unknown
OM-RGC.v2.021362415	111EC	0.940707039	OG		Function unknown
OM-RGC.v2.000909311	0YWD2	0.940625327	OG		Function unknown
OM-RGC.v2.000476771	0XUFP	0.939391356	OG	Peptidase family M28	Function unknown
OM-RGC.v2.015171824	0ZGTV	0.939276779	OG		Function unknown
OM-RGC.v2.030401147	0Y3WU	0.939172054	OG		Function unknown
OM-RGC.v2.033923910	0Y69Q	0.938655357	OG	DNA polymerase beta domain protein region	Function unknown
OM-RGC.v2.001545844	0Y9QN	0.938242653	OG		Function unknown
OM-RGC.v2.002660170	0ZMPA	0.938028195	OG	integral membrane protein	Function unknown
OM-RGC.v2.011616438	0YAXP	0.9368606	OG	Nitrate reductase delta subunit	Function unknown
OM-RGC.v2.025749014	0Y3PR	0.936519364	OG		Function unknown
OM-RGC.v2.003368629	0YV61	0.936135579	OG		Function unknown
OM-RGC.v2.000125202	0XUFP	0.93570726	OG	Peptidase family M28	Function unknown
OM-RGC.v2.034390891	0YW6E	0.935273588	OG		Function unknown
OM-RGC.v2.028009012	0YB6G	0.935016406	OG		Function unknown
OM-RGC.v2.021780522	0ZGTV	0.934983318	OG		Function unknown
