Representative 1	Representative 2	Co-expression Pearson r	Representative 2 type	Representative 2 annotation	Functional category
OM-RGC.v2.006428037	OM-RGC.v2.010918071	0.938313488	GC		
OM-RGC.v2.036147181	OM-RGC.v2.008906237	0.938305164	GC		
OM-RGC.v2.015652191	OM-RGC.v2.026326069	0.93826701	GC		
OM-RGC.v2.026326069	OM-RGC.v2.015652191	0.93826701	GC		
OM-RGC.v2.010408935	OM-RGC.v2.021901175	0.938234833	GC		
OM-RGC.v2.021901175	OM-RGC.v2.010408935	0.938234833	GC		
OM-RGC.v2.002808891	OM-RGC.v2.009473535	0.9382338	GC		
OM-RGC.v2.009473535	OM-RGC.v2.002808891	0.9382338	GC		
OM-RGC.v2.009591015	OM-RGC.v2.012174662	0.938158322	GC		
OM-RGC.v2.012174662	OM-RGC.v2.009591015	0.938158322	GC		
OM-RGC.v2.002187845	OM-RGC.v2.040836721	0.938143347	GC		
OM-RGC.v2.005739864	OM-RGC.v2.044086780	0.938139487	GC		
OM-RGC.v2.002094430	OM-RGC.v2.032957546	0.938101268	GC		
OM-RGC.v2.032957546	OM-RGC.v2.002094430	0.938101268	GC		
OM-RGC.v2.024447931	OM-RGC.v2.020154775	0.938094656	GC		
OM-RGC.v2.031956396	OM-RGC.v2.042240708	0.938085599	GC		
OM-RGC.v2.002817747	OM-RGC.v2.022550098	0.938083086	GC		
OM-RGC.v2.006134799	OM-RGC.v2.000529329	0.938077395	GC		
OM-RGC.v2.000529329	OM-RGC.v2.006134799	0.938077395	GC		
OM-RGC.v2.029248761	OM-RGC.v2.001368968	0.938040257	GC		
OM-RGC.v2.035597084	OM-RGC.v2.017389326	0.938020269	GC		
OM-RGC.v2.017389326	OM-RGC.v2.035597084	0.938020269	GC		
OM-RGC.v2.043135916	OM-RGC.v2.020213727	0.938007696	GC		
OM-RGC.v2.038783201	OM-RGC.v2.009414857	0.937986014	GC		
OM-RGC.v2.028662563	OM-RGC.v2.027344029	0.937971819	GC		
OM-RGC.v2.002357360	OM-RGC.v2.004810438	0.937938195	GC		
OM-RGC.v2.004810438	OM-RGC.v2.002357360	0.937938195	GC		
OM-RGC.v2.040701915	OM-RGC.v2.042112700	0.937919349	GC		
OM-RGC.v2.026509695	OM-RGC.v2.038904806	0.937877812	GC		
OM-RGC.v2.000572004	OM-RGC.v2.000447051	0.93786412	GC		
OM-RGC.v2.000447051	OM-RGC.v2.000572004	0.93786412	GC		
OM-RGC.v2.013161917	OM-RGC.v2.000199262	0.937851301	GC		
OM-RGC.v2.000199262	OM-RGC.v2.013161917	0.937851301	GC		
OM-RGC.v2.002642879	OM-RGC.v2.034580963	0.937814014	GC		
OM-RGC.v2.034580963	OM-RGC.v2.002642879	0.937814014	GC		
OM-RGC.v2.000930287	OM-RGC.v2.000246508	0.937798896	GC		
OM-RGC.v2.029931713	OM-RGC.v2.025546545	0.937771559	GC		
OM-RGC.v2.039930015	OM-RGC.v2.042112700	0.937767249	GC		
OM-RGC.v2.017453712	OM-RGC.v2.043135916	0.937753632	GC		
OM-RGC.v2.027638195	OM-RGC.v2.034627240	0.93773213	GC		
OM-RGC.v2.002408373	OM-RGC.v2.002183521	0.937691661	GC		
OM-RGC.v2.040164533	OM-RGC.v2.000457138	0.937684392	GC		
OM-RGC.v2.000457138	OM-RGC.v2.040164533	0.937684392	GC		
OM-RGC.v2.030503204	OM-RGC.v2.041161219	0.937677296	GC		
OM-RGC.v2.041161219	OM-RGC.v2.030503204	0.937677296	GC		
OM-RGC.v2.014335241	OM-RGC.v2.038783201	0.937637173	GC		
OM-RGC.v2.032305992	OM-RGC.v2.004249864	0.937634873	GC		
OM-RGC.v2.018349794	OM-RGC.v2.001162660	0.937633912	GC		
OM-RGC.v2.001389378	OM-RGC.v2.000575390	0.937617144	GC		
OM-RGC.v2.000575390	OM-RGC.v2.001389378	0.937617144	GC		
OM-RGC.v2.028171080	OM-RGC.v2.031534262	0.937591055	GC		
OM-RGC.v2.006201826	OM-RGC.v2.022417815	0.93758724	GC		
OM-RGC.v2.005322391	OM-RGC.v2.009012343	0.937563782	GC		
OM-RGC.v2.000063237	OM-RGC.v2.005771944	0.937553482	GC		
OM-RGC.v2.029947472	OM-RGC.v2.016483691	0.93753674	GC		
OM-RGC.v2.013713020	OM-RGC.v2.000238773	0.937485635	GC		
OM-RGC.v2.000238773	OM-RGC.v2.013713020	0.937485635	GC		
OM-RGC.v2.010763833	OM-RGC.v2.002334007	0.937454273	GC		
OM-RGC.v2.002334007	OM-RGC.v2.010763833	0.937454273	GC		
OM-RGC.v2.016591256	OM-RGC.v2.007737408	0.937444285	GC		
OM-RGC.v2.016470013	OM-RGC.v2.032030435	0.937443201	GC		
OM-RGC.v2.000378842	OM-RGC.v2.018262283	0.93742541	GC		
OM-RGC.v2.000243295	OM-RGC.v2.035073120	0.937417285	GC		
OM-RGC.v2.000617076	OM-RGC.v2.002874976	0.937379474	GC		
OM-RGC.v2.000607075	OM-RGC.v2.003878038	0.93727046	GC		
OM-RGC.v2.032713080	OM-RGC.v2.003923785	0.937240177	GC		
OM-RGC.v2.041135600	OM-RGC.v2.034173326	0.937216821	GC		
OM-RGC.v2.000665740	OM-RGC.v2.007689814	0.937214951	GC		
OM-RGC.v2.007689814	OM-RGC.v2.000665740	0.937214951	GC		
OM-RGC.v2.000864840	OM-RGC.v2.020622312	0.937204071	GC		
OM-RGC.v2.020622312	OM-RGC.v2.000864840	0.937204071	GC		
OM-RGC.v2.022447756	OM-RGC.v2.022322657	0.937198741	GC		
OM-RGC.v2.004039767	OM-RGC.v2.001335743	0.937180874	GC		
OM-RGC.v2.001335743	OM-RGC.v2.004039767	0.937180874	GC		
OM-RGC.v2.018032419	OM-RGC.v2.032676053	0.937156657	GC		
OM-RGC.v2.032676053	OM-RGC.v2.018032419	0.937156657	GC		
OM-RGC.v2.007986229	OM-RGC.v2.007278259	0.937155949	GC		
OM-RGC.v2.007278259	OM-RGC.v2.007986229	0.937155949	GC		
OM-RGC.v2.001329353	OM-RGC.v2.002479258	0.937126468	GC		
OM-RGC.v2.030648737	OM-RGC.v2.031023059	0.93712092	GC		
OM-RGC.v2.028471564	OM-RGC.v2.004142549	0.937094911	GC		
OM-RGC.v2.018476455	OM-RGC.v2.013049005	0.937059657	GC		
OM-RGC.v2.013049005	OM-RGC.v2.018476455	0.937059657	GC		
OM-RGC.v2.005771045	OM-RGC.v2.009805021	0.937057605	GC		
OM-RGC.v2.036844423	OM-RGC.v2.014671216	0.937054946	GC		
OM-RGC.v2.014671216	OM-RGC.v2.036844423	0.937054946	GC		
OM-RGC.v2.008573475	OM-RGC.v2.012865716	0.937021758	GC		
OM-RGC.v2.003446086	OM-RGC.v2.010331438	0.937021704	GC		
OM-RGC.v2.006588984	OM-RGC.v2.010320418	0.936989069	GC		
OM-RGC.v2.003729242	OM-RGC.v2.000350343	0.936965569	GC		
OM-RGC.v2.027068669	OM-RGC.v2.040771391	0.936945581	GC		
OM-RGC.v2.040771391	OM-RGC.v2.027068669	0.936945581	GC		
OM-RGC.v2.018177039	OM-RGC.v2.012694719	0.936891461	GC		
OM-RGC.v2.024014738	OM-RGC.v2.001368968	0.936790109	GC		
OM-RGC.v2.009961896	OM-RGC.v2.009746684	0.936778173	GC		
OM-RGC.v2.004110621	OM-RGC.v2.028747252	0.93675719	GC		
OM-RGC.v2.028747252	OM-RGC.v2.004110621	0.93675719	GC		
OM-RGC.v2.044383586	OM-RGC.v2.005169867	0.936741741	GC		
OM-RGC.v2.001399515	OM-RGC.v2.030620349	0.93673209	GC		
OM-RGC.v2.038406753	OM-RGC.v2.000070678	0.936725179	GC		
OM-RGC.v2.000070678	OM-RGC.v2.038406753	0.936725179	GC		
OM-RGC.v2.038795377	OM-RGC.v2.042748240	0.93671675	GC		
OM-RGC.v2.042748240	OM-RGC.v2.038795377	0.93671675	GC		
OM-RGC.v2.032444436	OM-RGC.v2.028383486	0.936698549	GC		
OM-RGC.v2.033108698	OM-RGC.v2.036049502	0.936662921	GC		
OM-RGC.v2.036049502	OM-RGC.v2.033108698	0.936662921	GC		
OM-RGC.v2.001060939	OM-RGC.v2.001333465	0.936646191	GC		
OM-RGC.v2.001333465	OM-RGC.v2.001060939	0.936646191	GC		
OM-RGC.v2.026733275	OM-RGC.v2.010575146	0.936610045	GC		
OM-RGC.v2.009255565	OM-RGC.v2.008573475	0.936603924	GC		
OM-RGC.v2.001527412	OM-RGC.v2.001409565	0.936600357	GC		
OM-RGC.v2.001409565	OM-RGC.v2.001527412	0.936600357	GC		
OM-RGC.v2.033193566	OM-RGC.v2.009471636	0.936596393	GC		
OM-RGC.v2.009471636	OM-RGC.v2.033193566	0.936596393	GC		
OM-RGC.v2.000384010	OM-RGC.v2.001046843	0.936590688	GC		
OM-RGC.v2.001046843	OM-RGC.v2.000384010	0.936590688	GC		
OM-RGC.v2.022297324	OM-RGC.v2.027161989	0.936565347	GC		
OM-RGC.v2.036817601	OM-RGC.v2.036147745	0.936543457	GC		
OM-RGC.v2.036147745	OM-RGC.v2.036817601	0.936543457	GC		
OM-RGC.v2.034893628	OM-RGC.v2.028261376	0.936525804	GC		
OM-RGC.v2.028261376	OM-RGC.v2.034893628	0.936525804	GC		
OM-RGC.v2.002274070	OM-RGC.v2.004832920	0.936523934	GC		
OM-RGC.v2.004832920	OM-RGC.v2.002274070	0.936523934	GC		
OM-RGC.v2.033252829	OM-RGC.v2.034126826	0.936501445	GC		
OM-RGC.v2.029248746	OM-RGC.v2.024222697	0.936500889	GC		
OM-RGC.v2.003633201	OM-RGC.v2.001600808	0.93649483	GC		
OM-RGC.v2.027166399	OM-RGC.v2.007961420	0.936494133	GC		
OM-RGC.v2.034749265	OM-RGC.v2.035162822	0.936461564	GC		
OM-RGC.v2.029194155	OM-RGC.v2.028586369	0.936415355	GC		
OM-RGC.v2.028586369	OM-RGC.v2.029194155	0.936415355	GC		
OM-RGC.v2.026889242	OM-RGC.v2.005832227	0.936415196	GC		
OM-RGC.v2.006423692	OM-RGC.v2.027208545	0.936407622	GC		
OM-RGC.v2.027208545	OM-RGC.v2.006423692	0.936407622	GC		
OM-RGC.v2.000580200	OM-RGC.v2.000378842	0.936405256	GC		
OM-RGC.v2.003489855	OM-RGC.v2.008843272	0.936369129	GC		
OM-RGC.v2.004803696	OM-RGC.v2.000246508	0.936361288	GC		
OM-RGC.v2.031525018	OM-RGC.v2.037913453	0.936356187	GC		
OM-RGC.v2.037913453	OM-RGC.v2.031525018	0.936356187	GC		
OM-RGC.v2.032248760	OM-RGC.v2.026606920	0.936288451	GC		
OM-RGC.v2.026606920	OM-RGC.v2.032248760	0.936288451	GC		
OM-RGC.v2.033540787	OM-RGC.v2.005598081	0.936273926	GC		
OM-RGC.v2.005598081	OM-RGC.v2.033540787	0.936273926	GC		
OM-RGC.v2.010342940	OM-RGC.v2.031821370	0.936270406	GC		
OM-RGC.v2.031821370	OM-RGC.v2.010342940	0.936270406	GC		
OM-RGC.v2.000726359	OM-RGC.v2.000592045	0.936252128	GC		
OM-RGC.v2.000592045	OM-RGC.v2.000726359	0.936252128	GC		
OM-RGC.v2.043731126	OM-RGC.v2.013713020	0.936247694	GC		
OM-RGC.v2.012252635	OM-RGC.v2.023161273	0.936246806	GC		
OM-RGC.v2.023161273	OM-RGC.v2.012252635	0.936246806	GC		
OM-RGC.v2.001739663	OM-RGC.v2.000099964	0.936216861	GC		
OM-RGC.v2.000099964	OM-RGC.v2.001739663	0.936216861	GC		
OM-RGC.v2.017871478	OM-RGC.v2.000819205	0.936203718	GC		
OM-RGC.v2.000819205	OM-RGC.v2.017871478	0.936203718	GC		
OM-RGC.v2.014145766	OM-RGC.v2.005326831	0.936190641	GC		
OM-RGC.v2.033979734	OM-RGC.v2.043232052	0.93618206	GC		
OM-RGC.v2.030163639	OM-RGC.v2.005481655	0.936167077	GC		
OM-RGC.v2.005481655	OM-RGC.v2.030163639	0.936167077	GC		
OM-RGC.v2.000479020	OM-RGC.v2.010663179	0.936155016	GC		
OM-RGC.v2.010663179	OM-RGC.v2.000479020	0.936155016	GC		
OM-RGC.v2.001233467	OM-RGC.v2.001773238	0.93612142	GC		
OM-RGC.v2.001773238	OM-RGC.v2.001233467	0.93612142	GC		
OM-RGC.v2.000041337	OM-RGC.v2.010769006	0.936105227	GC		
OM-RGC.v2.010769006	OM-RGC.v2.000041337	0.936105227	GC		
OM-RGC.v2.040713521	OM-RGC.v2.036147181	0.936095141	GC		
OM-RGC.v2.002127478	OM-RGC.v2.002254791	0.936083281	GC		
OM-RGC.v2.016535155	OM-RGC.v2.012418965	0.936069547	GC		
OM-RGC.v2.000755965	OM-RGC.v2.001437661	0.936054965	GC		
OM-RGC.v2.001437661	OM-RGC.v2.000755965	0.936054965	GC		
OM-RGC.v2.028339980	OM-RGC.v2.040129572	0.936009738	GC		
OM-RGC.v2.045839342	OM-RGC.v2.035239472	0.935999514	GC		
OM-RGC.v2.043323839	OM-RGC.v2.030848069	0.9359739	GC		
OM-RGC.v2.032954828	OM-RGC.v2.033394877	0.935958637	GC		
OM-RGC.v2.033394877	OM-RGC.v2.032954828	0.935958637	GC		
OM-RGC.v2.032741540	OM-RGC.v2.040818191	0.935953715	GC		
OM-RGC.v2.038851641	OM-RGC.v2.027403358	0.935941458	GC		
OM-RGC.v2.027403358	OM-RGC.v2.038851641	0.935941458	GC		
OM-RGC.v2.001451558	OM-RGC.v2.006237510	0.935938757	GC		
OM-RGC.v2.006237510	OM-RGC.v2.001451558	0.935938757	GC		
OM-RGC.v2.016881768	OM-RGC.v2.002771056	0.935929058	GC		
OM-RGC.v2.000031441	OM-RGC.v2.000692343	0.935922114	GC		
OM-RGC.v2.000692343	OM-RGC.v2.000031441	0.935922114	GC		
OM-RGC.v2.000823927	OM-RGC.v2.017992072	0.935919395	GC		
OM-RGC.v2.000013511	OM-RGC.v2.002321447	0.935914683	GC		
OM-RGC.v2.013301771	OM-RGC.v2.006346809	0.935869984	GC		
OM-RGC.v2.005549503	OM-RGC.v2.036624162	0.935863615	GC		
OM-RGC.v2.036624162	OM-RGC.v2.005549503	0.935863615	GC		
OM-RGC.v2.017939938	OM-RGC.v2.032475704	0.93584927	GC		
OM-RGC.v2.001188291	OM-RGC.v2.002382122	0.935835947	GC		
OM-RGC.v2.031399050	OM-RGC.v2.000665740	0.935819428	GC		
OM-RGC.v2.000537510	OM-RGC.v2.000670319	0.93578525	GC		
OM-RGC.v2.000670319	OM-RGC.v2.000537510	0.93578525	GC		
OM-RGC.v2.026903532	OM-RGC.v2.023429938	0.935760408	GC		
OM-RGC.v2.023429938	OM-RGC.v2.026903532	0.935760408	GC		
OM-RGC.v2.010364577	OM-RGC.v2.039909880	0.935746386	GC		
OM-RGC.v2.039909880	OM-RGC.v2.010364577	0.935746386	GC		
OM-RGC.v2.019870002	OM-RGC.v2.039389842	0.935735408	GC		
OM-RGC.v2.000070464	OM-RGC.v2.000027583	0.935715341	GC		
OM-RGC.v2.000027583	OM-RGC.v2.000070464	0.935715341	GC		
OM-RGC.v2.008458966	OM-RGC.v2.033108698	0.935707756	GC		
OM-RGC.v2.000550763	OM-RGC.v2.034406482	0.935680238	GC		
OM-RGC.v2.002728097	OM-RGC.v2.008947680	0.935676474	GC		
OM-RGC.v2.008947680	OM-RGC.v2.002728097	0.935676474	GC		
OM-RGC.v2.003295723	OM-RGC.v2.003040916	0.935583133	GC		
OM-RGC.v2.003040916	OM-RGC.v2.003295723	0.935583133	GC		
OM-RGC.v2.003446203	OM-RGC.v2.031374087	0.935582247	GC		
OM-RGC.v2.031374087	OM-RGC.v2.003446203	0.935582247	GC		
OM-RGC.v2.012518081	OM-RGC.v2.020489649	0.935581803	GC		
OM-RGC.v2.011512748	OM-RGC.v2.001368968	0.935553823	GC		
OM-RGC.v2.041454212	OM-RGC.v2.006426413	0.935553143	GC		
OM-RGC.v2.015555286	OM-RGC.v2.034537560	0.935479646	GC		
OM-RGC.v2.005499124	OM-RGC.v2.004494220	0.935475691	GC		
OM-RGC.v2.036105267	OM-RGC.v2.033230567	0.935474358	GC		
OM-RGC.v2.007892303	OM-RGC.v2.017224294	0.935448839	GC		
OM-RGC.v2.017224294	OM-RGC.v2.007892303	0.935448839	GC		
OM-RGC.v2.035384125	OM-RGC.v2.006815772	0.935442256	GC		
OM-RGC.v2.000223856	OM-RGC.v2.000056640	0.935428054	GC		
OM-RGC.v2.000056640	OM-RGC.v2.000223856	0.935428054	GC		
OM-RGC.v2.038064101	OM-RGC.v2.012062016	0.935427984	GC		
OM-RGC.v2.034773207	OM-RGC.v2.038289337	0.935347824	GC		
OM-RGC.v2.000053816	OM-RGC.v2.001518004	0.935284431	GC		
OM-RGC.v2.039272639	OM-RGC.v2.029749007	0.935254464	GC		
OM-RGC.v2.001417566	OM-RGC.v2.010606586	0.935249587	GC		
OM-RGC.v2.010606586	OM-RGC.v2.001417566	0.935249587	GC		
OM-RGC.v2.015014417	OM-RGC.v2.033386569	0.935211541	GC		
OM-RGC.v2.033386569	OM-RGC.v2.015014417	0.935211541	GC		
OM-RGC.v2.004294090	OM-RGC.v2.019751009	0.935204615	GC		
OM-RGC.v2.019751009	OM-RGC.v2.004294090	0.935204615	GC		
OM-RGC.v2.003297376	OM-RGC.v2.005771944	0.935156355	GC		
OM-RGC.v2.030893498	OM-RGC.v2.022030837	0.935142224	GC		
OM-RGC.v2.022030837	OM-RGC.v2.030893498	0.935142224	GC		
OM-RGC.v2.031217436	OM-RGC.v2.008828057	0.935122093	GC		
OM-RGC.v2.008828057	OM-RGC.v2.031217436	0.935122093	GC		
OM-RGC.v2.003120728	OM-RGC.v2.030715615	0.93505346	GC		
OM-RGC.v2.001750056	OM-RGC.v2.041110690	0.935029972	GC		
OM-RGC.v2.041110690	OM-RGC.v2.001750056	0.935029972	GC		
OM-RGC.v2.019880616	OM-RGC.v2.031914362	0.935011694	GC		
OM-RGC.v2.031914362	OM-RGC.v2.019880616	0.935011694	GC		
OM-RGC.v2.007185053	OM-RGC.v2.006947930	0.934998966	GC		
OM-RGC.v2.007005860	OM-RGC.v2.025622972	0.934995313	GC		
OM-RGC.v2.025622972	OM-RGC.v2.007005860	0.934995313	GC		
OM-RGC.v2.040031280	OM-RGC.v2.001444105	0.934992071	GC		
OM-RGC.v2.006322002	OM-RGC.v2.009414857	0.934966776	GC		
OM-RGC.v2.002384020	OM-RGC.v2.002826986	0.934947303	GC		
OM-RGC.v2.034400130	OM-RGC.v2.019191152	0.934931789	GC		
OM-RGC.v2.019191152	OM-RGC.v2.034400130	0.934931789	GC		
OM-RGC.v2.037511203	OM-RGC.v2.008320234	0.934900679	GC		
OM-RGC.v2.008168375	OM-RGC.v2.007046749	0.934879172	GC		
OM-RGC.v2.007046749	OM-RGC.v2.008168375	0.934879172	GC		
OM-RGC.v2.005613856	OM-RGC.v2.000052640	0.934878693	GC		
OM-RGC.v2.009015058	OM-RGC.v2.000587449	0.93487375	GC		
OM-RGC.v2.000587449	OM-RGC.v2.009015058	0.93487375	GC		
OM-RGC.v2.008957965	OM-RGC.v2.001399620	0.934861911	GC		
OM-RGC.v2.018200236	OM-RGC.v2.004998371	0.934852647	GC		
OM-RGC.v2.014056521	OM-RGC.v2.010299766	0.934783624	GC		
OM-RGC.v2.010299766	OM-RGC.v2.014056521	0.934783624	GC		
OM-RGC.v2.032040637	OM-RGC.v2.032557606	0.934739226	GC		
OM-RGC.v2.039169680	OM-RGC.v2.000377852	0.934698458	GC		
OM-RGC.v2.016051548	OM-RGC.v2.031610647	0.934684751	GC		
OM-RGC.v2.001756534	OM-RGC.v2.003805375	0.934664933	GC		
OM-RGC.v2.011350558	OM-RGC.v2.000336600	0.934653136	GC		
OM-RGC.v2.000336600	OM-RGC.v2.011350558	0.934653136	GC		
OM-RGC.v2.038225567	OM-RGC.v2.030985522	0.934511463	GC		
OM-RGC.v2.011790521	OM-RGC.v2.015810226	0.934504082	GC		
OM-RGC.v2.016773967	OM-RGC.v2.001322323	0.934466874	GC		
OM-RGC.v2.001322323	OM-RGC.v2.016773967	0.934466874	GC		
OM-RGC.v2.000984827	OM-RGC.v2.027981440	0.934404524	GC		
OM-RGC.v2.000900616	OM-RGC.v2.000889618	0.934386231	GC		
OM-RGC.v2.000889618	OM-RGC.v2.000900616	0.934386231	GC		
OM-RGC.v2.000835475	OM-RGC.v2.036721241	0.934384156	GC		
OM-RGC.v2.046044009	OM-RGC.v2.009746684	0.934375919	GC		
OM-RGC.v2.008930031	OM-RGC.v2.006262146	0.934345593	GC		
OM-RGC.v2.031174873	OM-RGC.v2.001062360	0.934312674	GC		
OM-RGC.v2.014402278	OM-RGC.v2.028550205	0.934277499	GC		
OM-RGC.v2.028550205	OM-RGC.v2.014402278	0.934277499	GC		
OM-RGC.v2.018896811	OM-RGC.v2.018954767	0.934270454	GC		
OM-RGC.v2.000977937	OM-RGC.v2.037503042	0.934257446	GC		
OM-RGC.v2.036353623	OM-RGC.v2.007386191	0.934253117	GC		
OM-RGC.v2.009986215	OM-RGC.v2.003295723	0.934241391	GC		
OM-RGC.v2.009511250	OM-RGC.v2.033489524	0.934225217	GC		
OM-RGC.v2.029701614	OM-RGC.v2.016325410	0.934191215	GC		
OM-RGC.v2.016325410	OM-RGC.v2.029701614	0.934191215	GC		
OM-RGC.v2.006855540	OM-RGC.v2.016436544	0.934138083	GC		
OM-RGC.v2.001859632	OM-RGC.v2.002378577	0.934082603	GC		
OM-RGC.v2.004476838	OM-RGC.v2.000118381	0.934057396	GC		
OM-RGC.v2.000118381	OM-RGC.v2.004476838	0.934057396	GC		
OM-RGC.v2.004115994	OM-RGC.v2.001118204	0.934056655	GC		
OM-RGC.v2.035708655	OM-RGC.v2.043688381	0.934000512	GC		
OM-RGC.v2.029050649	OM-RGC.v2.024232846	0.933975712	GC		
OM-RGC.v2.000421446	OM-RGC.v2.012754982	0.933970466	GC		
OM-RGC.v2.012754982	OM-RGC.v2.000421446	0.933970466	GC		
OM-RGC.v2.019702211	OM-RGC.v2.000953496	0.933916357	GC		
OM-RGC.v2.027058732	OM-RGC.v2.000094350	0.933879403	GC		
OM-RGC.v2.013710743	OM-RGC.v2.030669839	0.933875368	GC		
OM-RGC.v2.030669839	OM-RGC.v2.013710743	0.933875368	GC		
OM-RGC.v2.008311243	OM-RGC.v2.009095975	0.933832786	GC		
OM-RGC.v2.009095975	OM-RGC.v2.008311243	0.933832786	GC		
OM-RGC.v2.038225188	OM-RGC.v2.021780522	0.933751733	GC		
OM-RGC.v2.041979652	OM-RGC.v2.033742790	0.933738789	GC		
OM-RGC.v2.015408211	OM-RGC.v2.009511250	0.933724397	GC		
OM-RGC.v2.015223171	OM-RGC.v2.007783628	0.933691486	GC		
OM-RGC.v2.012840016	OM-RGC.v2.037545018	0.933524628	GC		
OM-RGC.v2.031599922	OM-RGC.v2.019068816	0.933509303	GC		
OM-RGC.v2.002162158	OM-RGC.v2.038120351	0.933460271	GC		
OM-RGC.v2.016915071	OM-RGC.v2.000268626	0.93343826	GC		
OM-RGC.v2.000268626	OM-RGC.v2.016915071	0.93343826	GC		
OM-RGC.v2.035444130	OM-RGC.v2.044086780	0.933420519	GC		
OM-RGC.v2.011190003	OM-RGC.v2.003855120	0.933418605	GC		
OM-RGC.v2.003855120	OM-RGC.v2.011190003	0.933418605	GC		
OM-RGC.v2.000978813	OM-RGC.v2.005042313	0.933373203	GC		
OM-RGC.v2.005042313	OM-RGC.v2.000978813	0.933373203	GC		
OM-RGC.v2.036152464	OM-RGC.v2.033155123	0.93334388	GC		
OM-RGC.v2.000553269	OM-RGC.v2.003916222	0.933334437	GC		
OM-RGC.v2.010617437	OM-RGC.v2.000835475	0.933311659	GC		
OM-RGC.v2.028572411	OM-RGC.v2.034021418	0.933292047	GC		
OM-RGC.v2.022915271	OM-RGC.v2.008245021	0.933286503	GC		
OM-RGC.v2.008245021	OM-RGC.v2.022915271	0.933286503	GC		
OM-RGC.v2.016759987	OM-RGC.v2.017042750	0.933267382	GC		
OM-RGC.v2.017042750	OM-RGC.v2.016759987	0.933267382	GC		
OM-RGC.v2.037046268	OM-RGC.v2.034537560	0.933259004	GC		
OM-RGC.v2.000753895	OM-RGC.v2.000649831	0.933255585	GC		
OM-RGC.v2.000649831	OM-RGC.v2.000753895	0.933255585	GC		
OM-RGC.v2.002524011	OM-RGC.v2.005175338	0.933217664	GC		
OM-RGC.v2.003302575	OM-RGC.v2.003996628	0.933172418	GC		
OM-RGC.v2.003996628	OM-RGC.v2.003302575	0.933172418	GC		
OM-RGC.v2.003992649	OM-RGC.v2.000003758	0.933146032	GC		
OM-RGC.v2.019512255	OM-RGC.v2.033397377	0.933144051	GC		
OM-RGC.v2.033397377	OM-RGC.v2.019512255	0.933144051	GC		
OM-RGC.v2.004570793	OM-RGC.v2.028646636	0.93313073	GC		
OM-RGC.v2.028646636	OM-RGC.v2.004570793	0.93313073	GC		
OM-RGC.v2.001145954	OM-RGC.v2.015961871	0.933127232	GC		
OM-RGC.v2.030043487	OM-RGC.v2.037102553	0.933115085	GC		
OM-RGC.v2.037102553	OM-RGC.v2.030043487	0.933115085	GC		
OM-RGC.v2.020623153	OM-RGC.v2.033592388	0.933100778	GC		
OM-RGC.v2.033592388	OM-RGC.v2.020623153	0.933100778	GC		
OM-RGC.v2.029785124	OM-RGC.v2.013360926	0.933089568	GC		
OM-RGC.v2.000034301	OM-RGC.v2.022030837	0.933082288	GC		
OM-RGC.v2.001565935	OM-RGC.v2.000531695	0.93308035	GC		
OM-RGC.v2.002221103	OM-RGC.v2.000295271	0.933067047	GC		
OM-RGC.v2.000295271	OM-RGC.v2.002221103	0.933067047	GC		
OM-RGC.v2.033547627	OM-RGC.v2.037866439	0.933052132	GC		
OM-RGC.v2.037866439	OM-RGC.v2.033547627	0.933052132	GC		
OM-RGC.v2.043115975	OM-RGC.v2.011140974	0.933027232	GC		
OM-RGC.v2.041000577	OM-RGC.v2.034537560	0.933025233	GC		
OM-RGC.v2.003952622	OM-RGC.v2.001333465	0.93301806	GC		
OM-RGC.v2.005979035	OM-RGC.v2.003317199	0.933005844	GC		
OM-RGC.v2.000919515	OM-RGC.v2.029916728	0.93300157	GC		
OM-RGC.v2.000410562	OM-RGC.v2.000384329	0.932993838	GC		
OM-RGC.v2.000384329	OM-RGC.v2.000410562	0.932993838	GC		
OM-RGC.v2.007696958	OM-RGC.v2.000561242	0.932973626	GC		
OM-RGC.v2.000561242	OM-RGC.v2.007696958	0.932973626	GC		
OM-RGC.v2.030508566	OM-RGC.v2.033580225	0.932972716	GC		
OM-RGC.v2.033580225	OM-RGC.v2.030508566	0.932972716	GC		
OM-RGC.v2.001928627	OM-RGC.v2.000804654	0.932970112	GC		
OM-RGC.v2.004383320	OM-RGC.v2.032475704	0.932917601	GC		
OM-RGC.v2.005110325	OM-RGC.v2.008189338	0.932912716	GC		
OM-RGC.v2.008189338	OM-RGC.v2.005110325	0.932912716	GC		
OM-RGC.v2.000259833	OM-RGC.v2.000649831	0.932895181	GC		
OM-RGC.v2.026859062	OM-RGC.v2.033097746	0.932866774	GC		
OM-RGC.v2.033097746	OM-RGC.v2.026859062	0.932866774	GC		
OM-RGC.v2.039844925	OM-RGC.v2.036147745	0.932864287	GC		
OM-RGC.v2.001939904	OM-RGC.v2.011527997	0.9328457	GC		
OM-RGC.v2.030464039	OM-RGC.v2.038333500	0.93280519	GC		
OM-RGC.v2.038333500	OM-RGC.v2.030464039	0.93280519	GC		
OM-RGC.v2.036214727	OM-RGC.v2.037511203	0.932749056	GC		
OM-RGC.v2.032939958	OM-RGC.v2.039833720	0.932747926	GC		
OM-RGC.v2.005193648	OM-RGC.v2.000113829	0.932724885	GC		
OM-RGC.v2.018297766	OM-RGC.v2.005348376	0.932712841	GC		
