B100000637	BEZ_AINAOSW_6_C8P3BACXX.IND5
B100000637	BEZ_AINAOSW_7_C8P3BACXX.IND5
B100000639	BEZ_AIPAOSW_1_C8P3BACXX.IND6
B100000639	BEZ_AIPAOSW_2_C8P3BACXX.IND6
B100000639	BEZ_AIPAOSW_4_C8P3BACXX.IND6
B100000639	BEZ_AIPAOSW_5_C8P3BACXX.IND6
B100000639	BEZ_AIPAOSW_6_C8P3BACXX.IND6
B100000639	BEZ_AIPAOSW_7_C8P3BACXX.IND6
B100000651	BEZ_AIQAOSW_1_C8P3BACXX.IND7
B100000651	BEZ_AIQAOSW_2_C8P3BACXX.IND7
B100000651	BEZ_AIQAOSW_4_C8P3BACXX.IND7
B100000651	BEZ_AIQAOSW_5_C8P3BACXX.IND7
B100000651	BEZ_AIQAOSW_6_C8P3BACXX.IND7
B100000651	BEZ_AIQAOSW_7_C8P3BACXX.IND7
B100001242	BEZ_AITAOSW_1_C8P3BACXX.IND10
B100001242	BEZ_AITAOSW_2_C8P3BACXX.IND10
B100001242	BEZ_AITAOSW_4_C8P3BACXX.IND10
B100001242	BEZ_AITAOSW_5_C8P3BACXX.IND10
B100001242	BEZ_AITAOSW_6_C8P3BACXX.IND10
B100001242	BEZ_AITAOSW_7_C8P3BACXX.IND10
B100001215	BEZ_AKPAOSW_1_C8P5PACXX.IND5
B100001215	BEZ_AKPAOSW_2_C8P5PACXX.IND5
B100001215	BEZ_AKPAOSW_3_C8P5PACXX.IND5
B100001215	BEZ_AKPAOSW_4_C8P5PACXX.IND5
B100001215	BEZ_AKPAOSW_5_C8P5PACXX.IND5
B100001215	BEZ_AKPAOSW_6_C8P5PACXX.IND5
B100001215	BEZ_AKPAOSW_7_C8P5PACXX.IND5
B100001215	BEZ_AKPAOSW_8_C8P5PACXX.IND5
B100001196	BEZ_AKSAOSW_1_C8P5PACXX.IND8
B100001196	BEZ_AKSAOSW_2_C8P5PACXX.IND8
B100001196	BEZ_AKSAOSW_3_C8P5PACXX.IND8
B100001196	BEZ_AKSAOSW_4_C8P5PACXX.IND8
B100001196	BEZ_AKSAOSW_5_C8P5PACXX.IND8
B100001196	BEZ_AKSAOSW_6_C8P5PACXX.IND8
B100001196	BEZ_AKSAOSW_7_C8P5PACXX.IND8
B100001196	BEZ_AKSAOSW_8_C8P5PACXX.IND8
B100002031	BEZ_ALGAOSW_1_C8P5PACXX.IND2
B100002031	BEZ_ALGAOSW_2_C8P5PACXX.IND2
B100002031	BEZ_ALGAOSW_3_C8P5PACXX.IND2
B100002031	BEZ_ALGAOSW_4_C8P5PACXX.IND2
B100002031	BEZ_ALGAOSW_5_C8P5PACXX.IND2
B100002031	BEZ_ALGAOSW_6_C8P5PACXX.IND2
B100002031	BEZ_ALGAOSW_7_C8P5PACXX.IND2
B100002031	BEZ_ALGAOSW_8_C8P5PACXX.IND2
B100001788	BEZ_ALHAOSW_1_C8P5PACXX.IND4
B100001788	BEZ_ALHAOSW_2_C8P5PACXX.IND4
B100001788	BEZ_ALHAOSW_3_C8P5PACXX.IND4
B100001788	BEZ_ALHAOSW_4_C8P5PACXX.IND4
B100001788	BEZ_ALHAOSW_5_C8P5PACXX.IND4
B100001788	BEZ_ALHAOSW_6_C8P5PACXX.IND4
B100001788	BEZ_ALHAOSW_7_C8P5PACXX.IND4
B100001788	BEZ_ALHAOSW_8_C8P5PACXX.IND4
B100000986	BEZ_AHFAOSW_1_C8NB8ACXX.IND7
B100000987	BEZ_AHGAOSW_2_C8NB8ACXX.IND8
B100000994	BEZ_AHHAOSW_3_C8NB8ACXX.IND9
B100001000	BEZ_AHIAOSW_4_C8NB8ACXX.IND10
B100000973	BEZ_AHKAOSW_5_C8NB8ACXX.IND11
B100001031	BEZ_AHLAOSW_6_C8NB8ACXX.IND12
B100001033	BEZ_AHMAOSW_7_C8NB8ACXX.IND1
B100001010	BEZ_AHNAOSW_3_C8NA5ACXX.IND2
B100000885	BEZ_AHPAOSW_8_C8NB8ACXX.IND3
B100001107	BEZ_AHXAOSW_4_C8NA5ACXX.IND7
B100001076	BEZ_AIBAOSW_6_C8NA5ACXX.IND9
B100000939	BEZ_AICAOSW_7_C8NA5ACXX.IND10
B100000943	BEZ_AIDAOSW_8_C8NA5ACXX.IND11
B100000658	BEZ_AIRAOSW_1_C8P57ACXX.IND8
B100000658	BEZ_AIRAOSW_2_C8P57ACXX.IND8
B100000658	BEZ_AIRAOSW_3_C8P57ACXX.IND8
B100000658	BEZ_AIRAOSW_4_C8P57ACXX.IND8
B100000658	BEZ_AIRAOSW_5_C8P57ACXX.IND8
B100000658	BEZ_AIRAOSW_6_C8P57ACXX.IND8
B100000658	BEZ_AIRAOSW_7_C8P57ACXX.IND8
B100000658	BEZ_AIRAOSW_8_C8P57ACXX.IND8
B100001090	BEZ_AIXAOSW_1_C8P57ACXX.IND11
B100001090	BEZ_AIXAOSW_2_C8P57ACXX.IND11
B100001090	BEZ_AIXAOSW_3_C8P57ACXX.IND11
B100001090	BEZ_AIXAOSW_4_C8P57ACXX.IND11
B100001090	BEZ_AIXAOSW_5_C8P57ACXX.IND11
B100001090	BEZ_AIXAOSW_6_C8P57ACXX.IND11
B100001090	BEZ_AIXAOSW_7_C8P57ACXX.IND11
B100001090	BEZ_AIXAOSW_8_C8P57ACXX.IND11
B100001937	BEZ_AKKAOSW_1_C8P57ACXX.IND1
B100001937	BEZ_AKKAOSW_2_C8P57ACXX.IND1
B100001937	BEZ_AKKAOSW_3_C8P57ACXX.IND1
B100001937	BEZ_AKKAOSW_4_C8P57ACXX.IND1
B100001937	BEZ_AKKAOSW_5_C8P57ACXX.IND1
B100001937	BEZ_AKKAOSW_6_C8P57ACXX.IND1
B100001937	BEZ_AKKAOSW_7_C8P57ACXX.IND1
B100001937	BEZ_AKKAOSW_8_C8P57ACXX.IND1
B100002054	BEZ_AKLAOSW_1_C8P57ACXX.IND2
B100002054	BEZ_AKLAOSW_2_C8P57ACXX.IND2
B100002054	BEZ_AKLAOSW_3_C8P57ACXX.IND2
