B100000212	BEZ_AALAOSW_4_C7L56ACXX.IND8
B100000214	BEZ_AAMAOSW_5_C7L56ACXX.IND3
B100000513	BEZ_AANAOSW_6_C7L56ACXX.IND2
B100000524	BEZ_AAPAOSW_7_C7L56ACXX.IND5
B100000768	BEZ_AAQAOSW_8_C7L56ACXX.IND3
B100000767	BEZ_AARAOSW_1_C7RG4ACXX.IND4
B100000780	BEZ_AASAOSW_2_C7RG4ACXX.IND6
B100000787	BEZ_AATAOSW_3_C7RG4ACXX.IND7
B100000795	BEZ_AAVAOSW_4_C7RG4ACXX.IND8
B100000959	BEZ_ABAAOSW_5_C7RG4ACXX.IND9
B100000965	BEZ_ABBAOSW_6_C7RG4ACXX.IND10
B100000963	BEZ_ABCAOSW_7_C7RG4ACXX.IND11
B100000902	BEZ_ABDAOSW_8_C7RG4ACXX.IND12
B110000494	BMR_ACHAOSW_1_C7L56ACXX.IND12
B110000857	BMR_ACIAOSW_2_C7L56ACXX.IND1
B110000253	BMR_ABBAOSW_1_C7R7VACXX.IND3
B110000255	BMR_ABCAOSW_2_C7R7VACXX.IND5
B110000257	BMR_ABDAOSW_3_C7R7VACXX.IND1
B110000283	BMR_ABEAOSW_4_C7R7VACXX.IND2
B110000975	BMR_ABFAOSW_5_C7R7VACXX.IND9
B110000969	BMR_ABGAOSW_6_C7R7VACXX.IND10
B110000303	BMR_ABIAOSW_7_C7R7VACXX.IND6
B110000906	BMR_ABMAOSW_8_C7R7VACXX.IND2
B110000875	BMR_ABNAOSW_1_C7R63ACXX.IND3
B110000481	BMR_ABQAOSW_2_C7R63ACXX.IND7
B110000457	BMR_ABTAOSW_3_C7R63ACXX.IND8
B110000465	BMR_ABVAOSW_4_C7R63ACXX.IND7
B110000442	BMR_ABXAOSW_5_C7R63ACXX.IND8
B110000436	BMR_ACAAOSW_6_C7R63ACXX.IND9
B110000966	BMR_ACDAOSW_7_C7R63ACXX.IND10
B110000901	BMR_ACFAOSW_8_C7R63ACXX.IND11
B100000315	BEZ_AAAAOSW_2_C7RP7ACXX.IND6
B100000071	BEZ_AADAOSW_3_C7RP7ACXX.IND7
B100000089	BEZ_AAEAOSW_4_C7RP7ACXX.IND7
B100000091	BEZ_AAFAOSW_5_C7RP7ACXX.IND8
B100000101	BEZ_AAGAOSW_6_C7RP7ACXX.IND1
B100000282	BEZ_AAHAOSW_7_C7RP7ACXX.IND5
B100000287	BEZ_AAIAOSW_8_C7RP7ACXX.IND2
B110000023	BMR_AAIAOSW_1_C7TEHACXX.IND4
B110000044	BMR_AAKAOSW_2_C7TEHACXX.IND7
B110000035	BMR_AALAOSW_3_C7TEHACXX.IND5
B110000083	BMR_AAMAOSW_4_C7TEHACXX.IND6
B110000085	BMR_AANAOSW_5_C7TEHACXX.IND8
B110000110	BMR_AAPAOSW_6_C7TEHACXX.IND9
B110000112	BMR_AAQAOSW_7_C7TEHACXX.IND7
B110000122	BMR_AARAOSW_8_C7TEHACXX.IND8
B110000204	BMR_AASAOSW_4_C7TEBACXX.IND10
B110000501	BMR_AATAOSW_5_C7TEBACXX.IND11
B110000206	BMR_AAVAOSW_6_C7TEBACXX.IND12
B110000233	BMR_AAXAOSW_7_C7TEBACXX.IND1
B110000235	BMR_ABAAOSW_8_C7TEBACXX.IND2
B110001435	BMR_AAAAOSW_3_C7M1JACXX.IND2
B110001437	BMR_AACAOSW_4_C7M1JACXX.IND3
B110001444	BMR_AADAOSW_5_C7M1JACXX.IND4
B110001446	BMR_AAEAOSW_6_C7M1JACXX.IND5
B110001467	BMR_AAGAOSW_7_C7M1JACXX.IND6
B110000200	BMR_AAHAOSW_8_C7M1JACXX.IND3
B110000857	BMR_ACIAOSW_6_C797YACXX.IND1
B110000091	BMI_AAMIOSF_7_C7BJ1ACXX.IND12
B110001444	BMR_AADAOSW_3_C7BJ1ACXX.IND4
B110001446	BMR_AAEAOSW_3_C7BJ1ACXX.IND5
B110001467	BMR_AAGAOSW_3_C7BJ1ACXX.IND6
B110000044	BMR_AAKAOSW_3_C7BJ1ACXX.IND7
B110000085	BMR_AANAOSW_4_C7BJ1ACXX.IND8
B110000110	BMR_AAPAOSW_4_C7BJ1ACXX.IND9
B110000204	BMR_AASAOSW_4_C7BJ1ACXX.IND10
B110000501	BMR_AATAOSW_4_C7BJ1ACXX.IND11
B110000206	BMR_AAVAOSW_5_C7BJ1ACXX.IND12
B110000233	BMR_AAXAOSW_5_C7BJ1ACXX.IND1
B110000235	BMR_ABAAOSW_5_C7BJ1ACXX.IND2
B110000253	BMR_ABBAOSW_5_C7BJ1ACXX.IND3
B110000255	BMR_ABCAOSW_6_C7BJ1ACXX.IND5
B110000303	BMR_ABIAOSW_6_C7BJ1ACXX.IND6
B110000481	BMR_ABQAOSW_6_C7BJ1ACXX.IND7
B110000457	BMR_ABTAOSW_6_C7BJ1ACXX.IND8
R110002003	BNA_AACOSW_2_C7BJ1ACXX.IND31
R110002072	BNA_AALOSW_2_C7BJ1ACXX.IND32
R110002095	BNA_AANOSW_2_C7BJ1ACXX.IND33
R110000850	BNA_ABAOSW_1_C7BJ1ACXX.IND20
R110000737	BNA_ABMAOSW_2_C7BJ1ACXX.IND34
R110001583	BNA_ABXOSW_1_C7BJ1ACXX.IND6
R110001592	BNA_ACAAOSW_1_C7BJ1ACXX.IND23
R110001592	BNA_ACAOSW_1_C7BJ1ACXX.IND5
B110000238	BMI_ABAIOSF_1_C7C9HACXX.IND15
B110000259	BMI_ABDIOSF_2_C7C9HACXX.IND28
B110000971	BMI_ABHIOSF_3_C7C9HACXX.IND20
B110000305	BMI_ABIIOSF_4_C7C9HACXX.IND24
B110000902	BMI_ABMIOSF_5_C7C9HACXX.IND23
B110000879	BMI_ABPIOSF_6_C7C9HACXX.IND22
B110000495	BMI_ABQIOSF_7_C7C9HACXX.IND21
B110000483	BMI_ABRIOSF_8_C7C9HACXX.IND27
B110001435	BMR_AAAAOSW_7_C7AD3ACXX.IND2
B110001437	BMR_AACAOSW_7_C7AD3ACXX.IND3
B110000465	BMR_ABVAOSW_7_C7AD3ACXX.IND7
B110000442	BMR_ABXAOSW_7_C7AD3ACXX.IND8
B110000436	BMR_ACAAOSW_8_C7AD3ACXX.IND9
B110000966	BMR_ACDAOSW_8_C7AD3ACXX.IND10
B110000901	BMR_ACFAOSW_8_C7AD3ACXX.IND11
B110000494	BMR_ACHAOSW_8_C7AD3ACXX.IND12
R110002049	BNA_AAFOSW_5_C7AD3ACXX.IND17
R110002060	BNA_AAGOSW_5_C7AD3ACXX.IND26
R110002094	BNA_AAPOSW_5_C7AD3ACXX.IND15
R110002111	BNA_AAROSW_5_C7AD3ACXX.IND14
R110000744	BNA_ABKAOSW_6_C7AD3ACXX.IND20
R110000744	BNA_ABKOSW_4_C7AD3ACXX.IND10
R110002153	BNA_ABRAOSW_6_C7AD3ACXX.IND21
R110001632	BNA_ABSOSW_4_C7AD3ACXX.IND2
R110001599	BNA_ABTOSW_4_C7AD3ACXX.IND4
R110001606	BNA_ABVAOSW_6_C7AD3ACXX.IND22
R110001606	BNA_ABVOSW_4_C7AD3ACXX.IND3
R110001583	BNA_ABXAOSW_6_C7AD3ACXX.IND24
R110002012	BNA_AAAOSW_6_C7ALHACXX.IND11
R110002020	BNA_AABOSW_7_C7ALHACXX.IND16
R110002050	BNA_AADOSW_6_C7ALHACXX.IND7
R110002051	BNA_AAEOSW_7_C7ALHACXX.IND18
R110002033	BNA_AAHOSW_6_C7ALHACXX.IND8
R110002073	BNA_AAIOSW_6_C7ALHACXX.IND13
R110002074	BNA_AAKOSW_7_C7ALHACXX.IND14
R110002096	BNA_AAMOSW_7_C7ALHACXX.IND9
R110002110	BNA_AAQOSW_8_C7ALHACXX.IND27
R110002124	BNA_AASOSW_8_C7ALHACXX.IND19
R110000851	BNA_AAXOSW_8_C7ALHACXX.IND15
R110000796	BNA_ABFAOSW_8_C7ALHACXX.IND28
B110000112	BMR_AAQAOSW_2_C7ANJACXX.IND7
B110000122	BMR_AARAOSW_2_C7ANJACXX.IND8
B110000257	BMR_ABDAOSW_2_C7ANJACXX.IND1
B110000283	BMR_ABEAOSW_2_C7ANJACXX.IND2
B110000975	BMR_ABFAOSW_3_C7ANJACXX.IND9
B110000969	BMR_ABGAOSW_3_C7ANJACXX.IND10
B110000906	BMR_ABMAOSW_3_C7ANJACXX.IND2
B110000875	BMR_ABNAOSW_3_C7ANJACXX.IND3
R110002126	BNA_AAVOSW_4_C7ANJACXX.IND29
R110000824	BNA_ABCOSW_4_C7ANJACXX.IND30
R110000796	BNA_ABFOSW_4_C7ANJACXX.IND45
R110000787	BNA_ABGOSW_4_C7ANJACXX.IND47
R110000782	BNA_ABHOSW_5_C7ANJACXX.IND46
R110000772	BNA_ABIOSW_5_C7ANJACXX.IND48
R110000751	BNA_ABLOSW_5_C7ANJACXX.IND32
R110000737	BNA_ABMOSW_5_C7ANJACXX.IND31
R110000765	BNA_ABNOSW_6_C7ANJACXX.IND34
R110000764	BNA_ABPOSW_6_C7ANJACXX.IND33
R110002167	BNA_ABQOSW_6_C7ANJACXX.IND1
R110002153	BNA_ABROSW_6_C7ANJACXX.IND35
B110000467	BMI_ABTIOSF_1_C7ALDACXX.IND46
B110000438	BMI_ABXIOSF_2_C7ALDACXX.IND47
B110001452	BMI_AADIOSF_3_C7C8WACXX.IND34
B110000046	BMI_AAIIOSF_4_C7C8WACXX.IND35
B110000090	BMI_AAPIOSF_5_C7C8WACXX.IND36
B110000116	BMI_AARIOSF_6_C7C8WACXX.IND37
B110000503	BMI_AATIOSF_7_C7C8WACXX.IND38
B110000261	BMI_ABBIOSF_8_C7C8WACXX.IND39
B110000263	BMI_ABCIOSF_3_C7APVACXX.IND40
B110000967	BMI_ABGIOSF_4_C7APVACXX.IND41b
B110000908	BMI_ABKIOSF_5_C7APVACXX.IND42
B110000914	BMI_ABLIOSF_6_C7APVACXX.IND43
B110000881	BMI_ABNIOSF_7_C7APVACXX.IND44
B110000858	BMI_ABSIOSF_8_C7APVACXX.IND45
B110000459	BMI_ABVIOSF_3_C7C9NACXX.IND19
B110000200	BMR_AAHAOSW_3_C7C9DACXX.IND3
B110000023	BMR_AAIAOSW_3_C7C9DACXX.IND4
B110000035	BMR_AALAOSW_3_C7C9DACXX.IND5
B110000083	BMR_AAMAOSW_3_C7C9DACXX.IND6
R110000868	BNA_AATOSW_2_C7C9DACXX.IND41b
R110000823	BNA_ABBOSW_2_C7C9DACXX.IND43
R110000822	BNA_ABDOSW_2_C7C9DACXX.IND42
R110000803	BNA_ABEOSW_2_C7C9DACXX.IND44
B100000700	BEZ_ABNAOSW_3_C7BWPACXX.IND1
B100001565	BEZ_ADAAOSW_1_C7BWPACXX.IND4
B100001742	BEZ_ADBAOSW_3_C7BWPACXX.IND4
B100001770	BEZ_ADCAOSW_2_C7BWPACXX.IND5
B100001135	BEZ_ADDAOSW_3_C7BWPACXX.IND2
X100000009	BEZ_ADGAOSW_3_C7BWPACXX.IND3
B110000114	BMI_AAQIOSF_5_C7CAFACXX.IND14
B110000211	BMI_AAVIOSF_6_C7BWPACXX.IND11
B110000240	BMI_AAXIOSF_6_C7CAFACXX.IND13
B110000285	BMI_ABEIOSF_7_C7BWPACXX.IND8
B110000977	BMI_ABFIOSF_8_C7BWPACXX.IND3
B110000444	BMI_ACAIOSF_8_C7CAFACXX.IND2
B110000008	BMI_AABIOSF_7_C7C2PACXX.IND17
B110000014	BMI_AACIOSF_8_C7C2PACXX.IND18
B110001454	BMI_AAEIOSF_1_C7CAKACXX.IND16
B110001469	BMI_AAHIOSF_2_C7CAKACXX.IND1
B110000037	BMI_AAKIOSF_3_C7CAKACXX.IND26
B110000027	BMI_AALIOSF_4_C7CAKACXX.IND25
B110000093	BMI_AANIOSF_5_C7CAKACXX.IND5
B110000208	BMI_AASIOSF_6_C7CAKACXX.IND4
B110000003	BMI_AAAIOSF_1_C7C83ACXX.IND6
B110001450	BMI_AAFIOSF_2_C7C83ACXX.IND9
B110000196	BMI_AAGIOSF_3_C7C83ACXX.IND7
B100000071	BEZ_AADAOSW_2_C5NN3ACXX.IND7
B100000287	BEZ_AAIAOSW_2_C5NN3ACXX.IND2
B100000212	BEZ_AALAOSW_3_C5NN3ACXX.IND8
B100000214	BEZ_AAMAOSW_2_C5NN3ACXX.IND3
B100000953	BEZ_ABEAOSW_2_C5NN3ACXX.IND9
B100000678	BEZ_ABPAOSW_3_C5NN3ACXX.IND4
B100000686	BEZ_ABRAOSW_3_C5NN3ACXX.IND10
B100001765	BEZ_ACMAOSW_3_C5NN3ACXX.IND5
B100000315	BEZ_AAAAOSW_1_C52MRACXX.IND6
B100001964	BEZ_ACBBOSW_1_C4UJUACXX.IND4
B100000248	BEZ_AAKAOSW_8_C4VJ6ACXX.IND12
B100002003	BEZ_ACFAOSW_8_C4VJ6ACXX.IND6
B100001741	BEZ_ACIAOSW_8_C4VJ6ACXX.IND10
B100001564	BEZ_ACPAOSW_8_C4VJ6ACXX.IND4
B100000089	BEZ_AAEAOSW_1_C4VBLACXX.IND7
B100000091	BEZ_AAFAOSW_1_C4VBLACXX.IND8
B100000282	BEZ_AAHAOSW_1_C4VBLACXX.IND5
B100000925	BEZ_ABHBOSW_1_C4VBLACXX.IND11
B100000575	BEZ_ABLAOSW_5_C4VBLACXX.IND5
B100000700	BEZ_ABNAOSW_5_C4VBLACXX.IND6
B100000676	BEZ_ABTAOSW_5_C4VBLACXX.IND7
B100001123	BEZ_ACAAOSW_5_C4VBLACXX.IND8
B100001287	BEZ_ACCAOSW_6_C4VBLACXX.IND9
B100001971	BEZ_ACDAOSW_2_C4VBLACXX.IND9
B100001996	BEZ_ACEAOSW_6_C4VBLACXX.IND10
B100001989	BEZ_ACGAOSW_6_C4VBLACXX.IND11
B100001158	BEZ_ACHAOSW_6_C4VBLACXX.IND12
B100001750	BEZ_ACKAOSW_2_C4VBLACXX.IND1
B100001758	BEZ_ACLAOSW_2_C4VBLACXX.IND2
B100001769	BEZ_ACNAOSW_2_C4VBLACXX.IND3
B100000959	BEZ_ABAAOSW_2_C4VAEACXX.IND9
B100000965	BEZ_ABBAOSW_2_C4VAEACXX.IND10
B100000963	BEZ_ABCAOSW_2_C4VAEACXX.IND11
B100000902	BEZ_ABDAOSW_2_C4VAEACXX.IND12
B100000900	BEZ_ABFAOSW_3_C4VAEACXX.IND1
B100000927	BEZ_ABGBOSW_3_C4VAEACXX.IND2
B100000929	BEZ_ABIAOSW_3_C4VAEACXX.IND3
B100000579	BEZ_ABKAOSW_3_C4VAEACXX.IND4
B100000524	BEZ_AAPAOSW_8_C4VM6ACXX.IND5
B100000780	BEZ_AASAOSW_8_C4VM6ACXX.IND6
B100000787	BEZ_AATAOSW_8_C4VM6ACXX.IND7
B100000795	BEZ_AAVAOSW_8_C4VM6ACXX.IND8
B100000101	BEZ_AAGAOSW_1_C49VTACXX.IND1
B100000513	BEZ_AANAOSW_1_C49VTACXX.IND2
B100000768	BEZ_AAQAOSW_1_C49VTACXX.IND3
B100000767	BEZ_AARAOSW_1_C49VTACXX.IND4
B100001115	BEZ_ABMAOSW_1_C4A65ACXX.IND4
B100000683	BEZ_ABQAOSW_2_C4A65ACXX.IND2
B100000674	BEZ_ABSAOSW_3_C4A65ACXX.IND1
B100001121	BEZ_ABVAOSW_5_C4A65ACXX.IND3
B100001115	BEZ_ABMAOSW_2_HA4CYADXX.IND4
B100000683	BEZ_ABQAOSW_2_HA4CYADXX.IND2
B100000674	BEZ_ABSAOSW_2_HA4CYADXX.IND1
B100001121	BEZ_ABVAOSW_2_HA4CYADXX.IND3
B100000674	BEZ_ABSAOSW_1_AAD5J.IND1
X000001316	APX_ADFOSW_4_C2MHYACXX.IND1
R100000093	APX_ADIOSW_4_C2MHYACXX.IND4
R100000388	APX_ADLOSW_4_C2MNYACXX.IND6
R100000306	APX_ADTOSW_4_C2MHYACXX.IND13
R100000935	APX_AEAOSW_4_C2MHYACXX.IND15
R100001369	APX_AEBOSW_4_C2MNYACXX.IND16
R100000789	APX_AESOSW_4_C2MNYACXX.IND31
R100000781	APX_AETOSW_4_C2MNYACXX.IND32
A100001201	APX_ADGOSW_4_C2MJFACXX.IND2
R100000049	APX_ADHOSW_4_C2MJFACXX.IND3
R100000501	APX_ADKOSW_4_C2MJFACXX.IND5
R100000365	APX_ADQOSW_4_C2MJFACXX.IND10
R100000734	APX_AENOSW_4_C2LW3ACXX.IND27
R100000750	APX_AEPOSW_4_C2LW3ACXX.IND28
R100000742	APX_AEQOSW_4_C2LW3ACXX.IND29
R100000773	APX_AEROSW_4_C2LW3ACXX.IND30
R100000426	APX_ADMOSW_5_C2MP1ACXX.IND7
R100000231	APX_ADNOSW_5_C2MP1ACXX.IND8
R100000353	APX_ADPOSW_5_C2MP1ACXX.IND9
R100000278	APX_ADROSW_5_C2MP1ACXX.IND11
R100000329	APX_ADSOSW_6_C2MP1ACXX.IND12
R100000541	APX_ADVOSW_6_C2MP1ACXX.IND14
R100001244	APX_AECOSW_6_C2MP1ACXX.IND17
R100001440	APX_AEDOSW_6_C2MP1ACXX.IND18
R100001530	APX_AEEOSW_7_C2MP1ACXX.IND19
R100001443	APX_AEFOSW_7_C2MP1ACXX.IND20
R100001460	APX_AEGOSW_7_C2MP1ACXX.IND21
R100001480	APX_AEHOSW_7_C2MP1ACXX.IND22
R100001463	APX_AEIOSW_8_C2MP1ACXX.IND23
R100000654	APX_AEKOSW_8_C2MP1ACXX.IND24
R100000656	APX_AELOSW_8_C2MP1ACXX.IND25
R100000655	APX_AEMOSW_8_C2MP1ACXX.IND26
R100001594	APX_ADAOSW_4_662YVAAXX.IND7
R100001132	APX_ACMOSW_4_662YWAAXX.IND4
R100001591	APX_ACVOSW_4_662YWAAXX.IND9
R100001594	APX_ADAOSW_4_662YWAAXX.IND7
R100000697	APX_ADBOSW_3_C23E8ACXX.IND10
R100000700	APX_ADCOSW_3_C23E8ACXX.IND2
R100000805	APX_ADDOSW_3_C23E8ACXX.IND12
R100000808	APX_ADEOSW_3_C23E8ACXX.IND7
R100001163	APX_ACPOSW_3_C1JGYACXX.IND2
R100001143	APX_ACQOSW_3_C1JGYACXX.IND10
R100000687	APX_ACTOSW_3_C1JGYACXX.IND8
R100001591	APX_ACVOSW_3_C1JGYACXX.IND9
R100000963	APX_ACKOSW_7_C1CBGACXX.IND3
R100001132	APX_ACMOSW_7_C1CBGACXX.IND4
R100000657	APX_ACROSW_7_C1CBGACXX.IND6
R100000664	APX_ACSOSW_7_C1CBGACXX.IND7
