Barcode	Station.label	Layer	polar	lower.size.fraction	upper.size.fraction	Event.date	Latitude	Longitude	Depth.nominal	Ocean.region	Temperature	Oxygen	ChlorophyllA	Carbon.total	Salinity	Gradient.Surface.temp(SST)	Fluorescence	CO3	HCO3	Density	PO4	PAR.PC	NO3	Si	Alkalinity.total	Ammonium.5m	Depth.Mixed.Layer	Lyapunov	NO2	Depth.Min.O2	NO2NO3	Nitracline	Brunt.VÌ_isÌ_lÌ_	Iron.5m	Depth.Max.O2	Okubo.Weiss	Residence.time
TARA_B100000482-TARA_B100000480	TARA_068	DCM	non polar	0.22	3	2010-09-14T13:30	-31.027	4.6802	50	[SAO] South Atlantic Ocean (MRGID:1914)	16.74878	231.9774	0.325714	0.0183	35.68407	0.11343	2.011787	0.0692	0	26.101325	0.227		0.904785	2.436	0.0038	0.015807986	156	0.120437	0.285	1320	1.08		353	0.00036828	237	0.069036	6.388889
TARA_B100000475-TARA_B100000473	TARA_068	SRF	non polar	0.22	3	2010-09-14T06:55	-31.0266	4.665	5	[SAO] South Atlantic Ocean (MRGID:1914)	16.8632	234.4763	0.309005	0.01515	35.686585	0.11343	1.951133	0.0462	0	26.07437	0.1455		1.103865	1.9865	0.00255	0.015807986	156	0.120437	0.201	1320	0.939		353	0.00036828	237	0.069036	6.388889
TARA_B100000446-TARA_B100000444	TARA_070	MES	non polar	0.22	3	2010-09-21T11:57:54	-20.4075	-3.1641	800	[SAO] South Atlantic Ocean (MRGID:1914)	4.188237	161.92525	0		34.446963	0.41681	3.251941			27.333325	2.522		36.675625	44.86		0.015283077	146	0.047133	0.01	219	36.73		156	0.000787816	15	0.009208	0
TARA_B100000459-TARA_B100000457	TARA_070	SRF	non polar	0.22	3	2010-09-21T06:55	-20.4091	-3.1759	5	[SAO] South Atlantic Ocean (MRGID:1914)	19.77001	215.2007	0.117466	0.0103	36.35839	0.33937	2.071928	0.04	0	25.859525	0.309		1.763081	1.1485	0.0033	0.015283077	149	0.047133	0.0465	235	0.8015	161	159	0.000787816	13	0.009208	0
TARA_B100000427-TARA_B100000422	TARA_072	DCM	non polar	0.22	3	2010-10-05T15:35	-8.7296	-17.9604	100	[SAO] South Atlantic Ocean (MRGID:1914)	23.630095	190.5966	0.242586	0.0086	36.588225	0.27521	2.171779	0.0616	0	24.96531	0.143		1.049606	1.284	0.0083	0.011292624	88	0.087015	0.011	290	0.044	143	98	0.001262169	16	0.006396	0
TARA_B100000424-TARA_B100000420	TARA_072	SRF	non polar	0.22	3	2010-10-05T08:00	-8.7789	-17.9099	5	[SAO] South Atlantic Ocean (MRGID:1914)	25.064425	199.135	0.104143	0.0018	36.41678	0.28465	1.77348	0.0038	0	24.393095	0.104		0.416799	0.868	0	0.011292624	91	0.087015	0.003	300	0.018	144	108	0.001262169	28	0.006396	0
TARA_B100000519-TARA_B100000515	TARA_076	DCM	non polar	0.22	3	2010-10-16T16:58:37	-21.0292	-35.3498	150	[SAO] South Atlantic Ocean (MRGID:1914)	21.16596	200.32465	0.103558	0.00245	36.61951	0.32089	1.931379	0.01715	0	25.68731	0.051522		0.218613	0.712116	6.00E-04	0.011959192	51	0.027592	0.047654	176	0	205	202	0.000776878	28	0.084131	0
TARA_B100000749-TARA_B100000747	TARA_076	MES	non polar	0.22	3	2010-10-17T09:05:05	-20.9315	-35.1794	800	[SAO] South Atlantic Ocean (MRGID:1914)	4.664275	191.413187	0	0	34.369569	0.20289	2.821232	0	0	27.220344			33.940795		0	0.011959192	52	0.027592		581		900	143	0.000776878	65	0.084131	0
TARA_B100000513-TARA_B100000513	TARA_076	SRF	non polar	0.22	3	2010-10-16T09:55	-20.9354	-35.1803	5	[SAO] South Atlantic Ocean (MRGID:1914)	23.374825	206.23185	0.055113	0.0019	37.076575	0.59536	1.636802	0.0016	0	25.40018	0.055883		0.185971	0.814172	0	0.011959192	50	0.027592	0.001404	582	0	849	152	0.000776878	77	0.084131	0
TARA_B100000530-TARA_B100000526	TARA_078	DCM	non polar	0.22	3	2010-11-04T18:16:53	-30.1484	-43.2705	120	[SAO] South Atlantic Ocean (MRGID:1914)	19.32335	216.6547	0.16855	0.0064	36.27746	1.5442	1.943116	0.0343	0	25.920365	0		0.085111	0.319	0.002	0.017718557	71	0.14819	0.053	160	0.104	166	4	0.000862562	42	0.053558	5.777778
TARA_B100000524-TARA_B100000524	TARA_078	SRF	non polar	0.22	3	2010-11-04T10:24	-30.1367	-43.2899	5	[SAO] South Atlantic Ocean (MRGID:1914)	20.07775	221.13845	0.066207	0.0054	36.32553	3.7648	1.674628	0.0027	0	25.754115	0		0.025333	0.749	0	0.017718557	89	0.14819	0	600	0.026	580	197	0.000862562	887	0.053558	5.777778
TARA_B100000767-TARA_B100000767	TARA_082	DCM	non polar	0.22	3	2010-12-06T18:58	-47.2007	-57.9446	40	[SAO] South Atlantic Ocean (MRGID:1914)	7.154875	306.1555	0.507313		34.05055	0.82188	2.133364			26.649733	1.356		18.047311	2.661		0.125833504	18	0.202122	0.1185	129	18.525	66	62	0.000290781	24	0.056052	0
TARA_B100000768-TARA_B100000768	TARA_082	SRF	non polar	0.22	3	2010-12-06T10:33	-47.1863	-58.2902	5	[SAO] South Atlantic Ocean (MRGID:1914)	7.579417	303.147667	0.426587		34.05025	1.211	2.128396			26.589567	1.302		18.434187	1.945		0.125833504	55	0.202122	0.146	952	18.005	59	64	0.000290781	74	0.056052	0
TARA_B100000780-TARA_B100000780	TARA_084	SRF	polar	0.22	3	2011-01-03T11:05	-60.2287	-60.6476	5	[SO] Southern Ocean (MRGID:1907)	1.9034	338.526	0.207979		33.7198	3.3784	2.105012			26.9578	1.723		24.903191	16.55		0.096893812	254	0.082884	0.266	553	25.3	75	69	8.83E-06	60	-0.48219	1.972222
TARA_B100000795-TARA_B100000795	TARA_085	DCM	polar	0.22	3	2011-01-06T19:34:21	-62.2231	-49.2139	90	[SO] Southern Ocean (MRGID:1907)	-0.792395	326.6803	0.289537		34.36258	0.46757	2.471241			27.6286	2.309		32.911358	81.82		0.007686064	42	0.02576	0.06	191	31	177	55	0.000451463	17	-0.012327	19.777778
TARA_B100000787-TARA_B100000787	TARA_085	SRF	polar	0.22	3	2011-01-06T10:38	-62.0385	-49.529	5	[SO] Southern Ocean (MRGID:1907)	0.73159	344.81235	0.276495	0.02675	34.327465	0.27081	2.220386	0.00375	0.0155	27.52175	2.1055		29.73383	80.55	0	0.007686064	499	0.02576	0.1055	596	28.64	28	70	0.000451463	60	-0.012327	19.777778
TARA_B100001059-TARA_B100001061	TARA_093	DCM	non polar	0.22	3	2011-03-12T19:36:38	-33.9116	-73.0537	35	[SPO] South Pacific Ocean (MRGID:1910)	15.376875	227.7609	0.484784	0.7106	34.22887	0.39243	3.63327	0.0898	0.0214	25.294705	1.08725		2.295011	0.46	0	0.040871163	24		0.359	81	6.80275	80	38	3.97E-06	14	0.061918	3.25
TARA_B100001063-TARA_B100001064	TARA_093	SRF	non polar	0.22	3	2011-03-12T11:34	-34.0614	-73.1066	5	[SPO] South Pacific Ocean (MRGID:1910)	18.122955	243.0408	0.361109	0.0218	34.31598	2.1058	2.590248	0.0114	0	24.71804	0.52125		0	0.1445	0	0.040871163	26		0.03975	156	0.2115	50	36	3.97E-06	14	0.061918	3.25
TARA_B100000989-TARA_B100000986	TARA_096	SRF	non polar	0.22	3	2011-03-24T13:00	-29.7238	-101.1604	5	[SPO] South Pacific Ocean (MRGID:1910)	23.84533	204.54175	0.070669		35.76868	0.13056	1.521211			24.269535	0.1575		0.149932	0.5305		0.010189857	49	0.056696	0	927		330	60	0.000148684	82	0.047596	0
TARA_B100001029-TARA_B100001033	TARA_098	DCM	non polar	0.22	3	2011-04-03T21:50:58	-25.826	-111.7294	188	[SPO] South Pacific Ocean (MRGID:1910)	20.2127	208.821	0.115489		35.86191	0.13514	1.795236			25.37245			0			0.007986359	60	0.028784		392		391	71	0.000233155	95	-0.006839	0
TARA_B100001013-TARA_B100001010	TARA_098	MES	non polar	0.22	3	2011-04-04T13:55:02	-25.8076	-111.6906	488	[SPO] South Pacific Ocean (MRGID:1910)	7.96837	154.6701	0	0	34.3655	0.18166	2.58324	0	0	26.78725	2.023		24.271551	12.05	0	0.007986359	64	0.028784	0	460	27.2885	411	72	0.000233155	98	-0.006839	0
TARA_B100001027-TARA_B100001031	TARA_098	SRF	non polar	0.22	3	2011-04-03T13:44	-25.8051	-111.7202	5	[SPO] South Pacific Ocean (MRGID:1910)	25.18103	200.40835	0.060509		36.40163	0.26901	1.457396			24.346275	0.1815		0	0.385875		0.007986359	69	0.028784	0.000563	485	0.05125	431	79	0.000233155	109	-0.006839	0
TARA_B100000886-TARA_B100000885	TARA_099	SRF	non polar	0.22	3	2011-04-09T13:56	-21.146	-104.787	5	[SPO] South Pacific Ocean (MRGID:1910)	23.88925	203.37975	0.091415	3.00E-04	36.1376	0.25653	1.490169	6.00E-04	0	24.5391	0.2975		0	0.558	0	0.015182246	67	0.050989	0.006	385	0.0315	386	75	4.58E-06	107	0.00016	8.333333
TARA_B100000963-TARA_B100000963	TARA_100	SRF	non polar	0.22	3	2011-04-15T12:45	-13.0023	-95.9759	5	[SPO] South Pacific Ocean (MRGID:1910)	25.349495	201.0109	0.227673	0.0066	35.82876	0.49273	1.77889	0.0049	0	23.86109	0.67725		5.005302	1.15025	0.0017	0.018424854	44	0.045278	0.137	301	6.1625	149	53	3.28E-06	52	0.013354	6
TARA_B100000902-TARA_B100000902	TARA_102	DCM	non polar	0.22	3	2011-04-22T21:13	-5.2669	-85.2732	40	[SPO] South Pacific Ocean (MRGID:1910)	19.781235	104.9968	0.365239	0.018	34.884385	1.8132	2.896974	0.038	0	24.729155	1.8615		18.72477	10.5045	0.0334	0.034300595	34	0.012324	1.202	238	24.3645	48	44	4.40E-06	14	0.043188	0
TARA_B100000953-TARA_B100000953	TARA_102	MES	non polar	0.22	3	2011-04-22T12:08:28	-5.261	-85.1678	480	[SPO] South Pacific Ocean (MRGID:1910)	9.137438	5.148	0	0	34.692094	1.8056	3.478053	0	0	26.863531	2.853		40.112735	40.579	0	0.034300595	34	0.012324	0.014	445	39.1775	43	45	4.40E-06	13	0.043188	0
TARA_B100000900-TARA_B100000900	TARA_102	SRF	non polar	0.22	3	2011-04-21T20:07	-5.2529	-85.1545	5	[SPO] South Pacific Ocean (MRGID:1910)	24.958885	204.421	0.264409	0.00655	34.764535	0.21865	2.076027	0.00475	0	23.176695	1.02575		13.010708	5.04425	0.0104	0.034300595	24	0.012324	0.3285	419	12.8225	32	34	4.40E-06	14	0.043188	0
TARA_B100000927-TARA_B100000927	TARA_109	DCM	non polar	0.22	3	2011-05-12T22:15	2.0299	-84.5546	30	[NPO] North Pacific Ocean (MRGID:1908)	26.019185	199.8303	0.329704	0.013	34.475915	2.5036	2.048813	0.0234	0	22.63355	0.50475		4.369042	3.225	0.0195	0.038657464	18	0.005026	0.111	420	4.638	56	57	4.99E-06	19	-0.002594	2.083333
TARA_B100000929-TARA_B100000929	TARA_109	MES	non polar	0.22	3	2011-05-13T16:08:58	2.0649	-84.5546	380	[NPO] North Pacific Ocean (MRGID:1908)	11.142362	2.264562	0		34.791419	2.3418	3.300821			26.595869			33.049074			0.038657464	12	0.005026		422		64	69	4.99E-06	14	-0.002594	2.083333
TARA_B100000925-TARA_B100000925	TARA_109	SRF	non polar	0.22	3	2011-05-12T14:00	1.9928	-84.5766	5	[NPO] North Pacific Ocean (MRGID:1908)	27.497475	199.6911	0.272009	0.004	33.472445	1.716	1.900753	0.00275	0	21.408655	0.2865		1.673601	1.7085	0.005	0.038657464	15	0.005026	0.0455	395	0.8935	63	59	4.99E-06	13	-0.002594	2.083333
TARA_B100001113-TARA_B100001111	TARA_110	DCM	non polar	0.22	3	2011-05-21T21:00	-1.9002	-84.6265	50	[SPO] South Pacific Ocean (MRGID:1910)	22.039785	145.0818	0.282031	0.0291	35.112815	0.8882	2.184041	0.0316	0	24.318245	0.9295		10.202445	5.407	0.005	0.042527045	21	0.064745	0.414	369	10.701	69	64	5.49E-06	14	0.032297	0
TARA_B100001079-TARA_B100001076	TARA_110	MES	non polar	0.22	3	2011-05-22T13:20	-1.8902	-84.6141	380	[SPO] South Pacific Ocean (MRGID:1910)	10.082375	2.43975	0.007712		34.747805	0.96385	3.401892			26.748625			26.734022			0.042527045	33	0.064745		373		75	68	5.49E-06	13	0.032297	0
TARA_B100001109-TARA_B100001107	TARA_110	SRF	non polar	0.22	3	2011-05-21T12:27	-2.0133	-84.589	5	[SPO] South Pacific Ocean (MRGID:1910)	23.88816	191.91255	0.246175	0.0125	35.012435	2.3345	1.970432	0.00855	0	23.68419	0.77275		8.074076	3.8635	0	0.042527045	33	0.064745	0.31925	369	8.287	69	74	5.49E-06	13	0.032297	0
TARA_B100000579-TARA_B100000579	TARA_111	DCM	non polar	0.22	3	2011-05-31T20:28:10	-16.9587	-100.6751	90	[SPO] South Pacific Ocean (MRGID:1910)	19.783275	208.54895	0.207911	0.0035	35.69581	0.51854	2.047239	0.0141	0	25.354365	0.443		0.85366	0.9285	0.0047	0.013075565	67	0.018781	0.203	233	1.2215	230	225	3.01E-06	70	-0.075767	34.305556
TARA_B100000575-TARA_B100000575	TARA_111	SRF	non polar	0.22	3	2011-05-31T14:25	-16.9601	-100.6335	5	[SPO] South Pacific Ocean (MRGID:1910)	22.78183	209.1003	0.154999	0.0027	35.98269	0.69721	1.775215	0.0041	0	24.742485	0.5		3.149999	1.0325	0	0.013075565	73	0.018781	0.0415	332	2.676	260	83	3.01E-06	30	-0.075767	34.305556
TARA_B100000945-TARA_B100000943	TARA_112	DCM	non polar	0.22	3	2011-06-15T00:55:48	-23.2189	-129.4997	155	[SPO] South Pacific Ocean (MRGID:1910)	21.94937	206.4346	0.145434	0.0011	35.90434	0.2814	1.745449	0.0104	0	24.927695	0.1145		0.423501	0.6935	0	0.00623687	131	0.040113	0.014	302	0.04175	306	140	0.000157501	146	-0.120564	11.083333
TARA_B100000941-TARA_B100000939	TARA_112	SRF	non polar	0.22	3	2011-06-14T16:45	-23.2811	-129.3947	5	[SPO] South Pacific Ocean (MRGID:1910)	24.26287	201.6702	0.055382	0	36.43917	0.27844	1.496493	0.0018	0	24.65312	0.14225		0.167491	0.7425	0	0.00623687	134	0.040113	0.0075	1019	0.02525	433	142	0.000157501	141	-0.120564	11.083333
TARA_B100000700-TARA_B100000700	TARA_122	DCM	non polar	0.22	3	2011-07-28T17:15:56	-9.0063	-139.1394	115	[SPO] South Pacific Ocean (MRGID:1910)	24.661385	178.3692	0.199886	0.0028	36.101175	0.10853	1.880646	0.0107	0	24.2843	0.582933		3.213808	1.907042	0.0093	0.030111594	101	0.028977	0.092792	186	2.67775	131	109	2.32E-06	15	0.007751	15.833333
