old_name	PANGAEA_ID
TARA_054_SRF_0.22-1.6_T	TARA_B100000355
TARA_056_MES_0.22-3_G	TARA_B100000378
TARA_056_MES_lt-0.22_G	TARA_R100000365
TARA_056_SRF_0.22-3_G	TARA_B000000609
TARA_056_SRF_lt-0.22_G	TARA_R100000353
TARA_057_SRF_0.22-3_G	TARA_B000000565
TARA_058_DCM_0.22-3_G	TARA_B000000557
TARA_058_DCM_lt-0.22_G	TARA_R100000278
TARA_062_SRF_0.22-3_G	TARA_B000000532
TARA_062_SRF_lt-0.22_G	TARA_R100000329
TARA_064_DCM_0.1-0.22_G	TARA_Y100000401
TARA_064_DCM_0.22-3_G	TARA_B100000405
TARA_064_DCM_lt-0.22_G	TARA_R100000315
TARA_064_MES_0.22-3_G	TARA_B100000408
TARA_064_MES_lt-0.22_G	TARA_R100000306
TARA_064_SRF_0.22-3_G	TARA_B100000401
TARA_064_SRF_lt-0.22_G	TARA_R100000322
TARA_065_DCM_0.1-0.22_G	TARA_Y100000361
TARA_065_DCM_0.22-3_G	TARA_B000000441
TARA_065_DCM_lt-0.22_G	TARA_R100001198
TARA_065_MES_0.22-3_G	TARA_B000000460
TARA_065_SRF_0.1-0.22_G	TARA_Y100000356
TARA_065_SRF_0.22-3_G	TARA_B000000437
TARA_065_SRF_lt-0.22_G	TARA_R100001230
TARA_066_DCM_0.22-3_G	TARA_B000000477
TARA_066_DCM_lt-0.22_G	TARA_R100000908
TARA_066_SRF_0.22-3_G	TARA_B000000475
TARA_066_SRF_lt-0.22_G	TARA_R100000900
TARA_067_SRF_0.22-0.45_G	TARA_Y100000389
TARA_067_SRF_0.22-3_G	TARA_B100000497
TARA_067_SRF_0.22-3_T	TARA_B100000493
TARA_067_SRF_0.45-0.8_G	TARA_Y100000385
TARA_067_SRF_lt-0.22_G	TARA_R100000951
TARA_068_DCM_0.22-0.45_G	TARA_Y100000748
TARA_068_DCM_0.22-3_G	TARA_B100000482
TARA_068_DCM_0.22-3_T	TARA_B100000480
TARA_068_DCM_0.45-0.8_G	TARA_Y100000746
TARA_068_DCM_lt-0.22_G	TARA_R100000995
TARA_068_MES_0.22-3_G	TARA_B100000470
TARA_068_MES_0.45-0.8_G	TARA_Y100000758
TARA_068_MES_lt-0.22_G	TARA_R100000963
TARA_068_SRF_0.22-0.45_G	TARA_Y100000741
TARA_068_SRF_0.22-3_G	TARA_B100000475
TARA_068_SRF_0.22-3_T	TARA_B100000473
TARA_068_SRF_0.45-0.8_G	TARA_Y100000739
TARA_068_SRF_lt-0.22_G	TARA_R100000988
TARA_070_MES_0.22-0.45_G	TARA_Y100000782
TARA_070_MES_0.22-3_G	TARA_B100000446
TARA_070_MES_0.22-3_T	TARA_B100000444
TARA_070_MES_0.45-0.8_G	TARA_Y100000780
TARA_070_MES_lt-0.22_G	TARA_R100001039
TARA_070_SRF_0.22-0.45_G	TARA_Y100000768
TARA_070_SRF_0.22-3_G	TARA_B100000459
TARA_070_SRF_0.22-3_T	TARA_B100000457
TARA_070_SRF_0.45-0.8_G	TARA_Y100000766
TARA_070_SRF_lt-0.22_G	TARA_R100001015
TARA_071_SRF_0.22-3_T	TARA_B100000436
TARA_072_DCM_0.22-3_G	TARA_B100000427
TARA_072_DCM_0.22-3_T	TARA_B100000422
TARA_072_DCM_lt-0.22_G	TARA_R100001082
TARA_072_MES_0.22-3_G	TARA_B100000508
TARA_072_MES_lt-0.22_G	TARA_R100001086
TARA_072_SRF_0.22-3_G	TARA_B100000424
TARA_072_SRF_0.22-3_T	TARA_B100000420
TARA_072_SRF_lt-0.22_G	TARA_R100001079
TARA_076_DCM_0.22-0.45_G	TARA_Y100000817
TARA_076_DCM_0.22-3_G	TARA_B100000519
TARA_076_DCM_0.22-3_T	TARA_B100000515
TARA_076_DCM_0.45-0.8_G	TARA_Y100000814
TARA_076_DCM_lt-0.22_G	TARA_R100001129
TARA_076_MES_0.22-3_G	TARA_B100000749
TARA_076_MES_0.22-3_T	TARA_B100000747
TARA_076_MES_0.45-0.8_G	TARA_Y100000815
TARA_076_MES_lt-0.22_G	TARA_R100001132
TARA_076_SRF_0.22-0.45_G	TARA_Y100000816
TARA_076_SRF_0.22-3_G	TARA_B100000513
TARA_076_SRF_0.22-3_T	TARA_B100000513
TARA_076_SRF_0.45-0.8_G	TARA_Y100000813
TARA_076_SRF_lt-0.22_G	TARA_R100001126
TARA_078_DCM_0.22-0.45_G	TARA_Y100000996
TARA_078_DCM_0.22-3_G	TARA_B100000530
TARA_078_DCM_0.22-3_T	TARA_B100000526
TARA_078_DCM_0.45-0.8_G	TARA_Y100000994
TARA_078_DCM_lt-0.22_G	TARA_R100001163
TARA_078_MES_0.22-3_G	TARA_B100000745
TARA_078_MES_0.45-0.8_G	TARA_Y100001001
TARA_078_MES_lt-0.22_G	TARA_R100001143
TARA_078_SRF_0.22-0.45_G	TARA_Y100000992
TARA_078_SRF_0.22-3_G	TARA_B100000524
TARA_078_SRF_0.22-3_T	TARA_B100000524
TARA_078_SRF_0.45-0.8_G	TARA_Y100000991
TARA_078_SRF_lt-0.22_G	TARA_R100001224
TARA_080_SRF_0.22-3_T	TARA_B100000713
TARA_081_DCM_0.22-3_T	TARA_B100000834
TARA_081_SRF_0.22-3_T	TARA_B100000832
TARA_082_DCM_0.22-3_G	TARA_B100000767
TARA_082_DCM_0.22-3_T	TARA_B100000767
TARA_082_DCM_lt-0.22_G	TARA_R100000544
TARA_082_SRF_0.22-3_G	TARA_B100000768
TARA_082_SRF_0.22-3_T	TARA_B100000768
TARA_082_SRF_lt-0.22_G	TARA_R100000541
TARA_083_SRF_0.22-3_T	TARA_B100000765
TARA_084_SRF_0.22-3_G	TARA_B100000780
TARA_084_SRF_0.22-3_T	TARA_B100000780
TARA_084_SRF_lt-0.22_G	TARA_R100000935
TARA_085_DCM_0.22-3_G	TARA_B100000795
TARA_085_DCM_0.22-3_T	TARA_B100000795
TARA_085_DCM_lt-0.22_G	TARA_R100001377
TARA_085_MES_0.22-3_G	TARA_B100000809
TARA_085_MES_lt-0.22_G	TARA_R100001244
TARA_085_SRF_0.22-3_G	TARA_B100000787
TARA_085_SRF_0.22-3_T	TARA_B100000787
TARA_085_SRF_lt-0.22_G	TARA_R100001369
TARA_086_DCM_0.22-3_T	TARA_B100000813
TARA_086_SRF_0.22-3_T	TARA_B100000811
TARA_087_SRF_0.22-3_T	TARA_B100000562
TARA_088_SRF_0.22-3_T	TARA_B100000851
TARA_089_SRF_0.22-3_T	TARA_B100000858
TARA_090_SRF_0.22-3_T	TARA_B100000801
TARA_091_SRF_0.22-3_T	TARA_B100000865
TARA_092_SRF_0.22-3_T	TARA_B100000872
TARA_093_DCM_0.22-3_G	TARA_B100001059
TARA_093_DCM_0.22-3_T	TARA_B100001061
TARA_093_SRF_0.22-3_G	TARA_B100001063
TARA_093_SRF_0.22-3_T	TARA_B100001064
TARA_094_SRF_0.22-3_G	TARA_B100001057
TARA_096_DCM_0.22-3_T	TARA_B100000987
TARA_096_SRF_0.22-3_G	TARA_B100000989
TARA_096_SRF_0.22-3_T	TARA_B100000986
TARA_097_DCM_0.22-3_T	TARA_B100000973
TARA_097_MES_0.22-3_T	TARA_B100001000
TARA_097_SRF_0.22-3_T	TARA_B100000994
TARA_098_DCM_0.22-3_G	TARA_B100001029
TARA_098_DCM_0.22-3_T	TARA_B100001033
TARA_098_MES_0.22-3_G	TARA_B100001013
TARA_098_MES_0.22-3_T	TARA_B100001010
TARA_098_SRF_0.22-3_G	TARA_B100001027
TARA_098_SRF_0.22-3_T	TARA_B100001031
TARA_099_SRF_0.22-3_G	TARA_B100000886
