Sample label [TARA_station#_environmental-feature_size-fraction]	INSDC sample accession number(s)	INSDC run accession number(s)	Corresponding nucleotides data published at ENA	PANGAEA sample identifier	Corresponding contextual data published at PANGAEA	Station identifier [TARA_station#]	Date/Time [yyyy-mm-ddThh:mm]	Latitude [degrees North]	Longitude [degrees East]	Sampling depth [m]	Environmental Feature	Size fraction lower threshold [micrometre]	Size fraction upper threshold [micrometre]	Marine pelagic biomes (Longhurst 2007)	Ocean and sea regions (IHO General Sea Areas 1953) [MRGID registered at www.marineregions.com]	Marine pelagic biomes  (Longhurst 2007) [MRGID registered at www.marineregions.com] 
TARA_041_SRF_<-0.22	ERS489059	ERR594384	http://www.ebi.ac.uk/ena/data/view/ERR594384	TARA_R100000455	http://www.pangaea.de/search?All&q=TARA_R100000455	TARA_041	2010-03-30T02:47	14.6059	69.9776	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_042_DCM_0.22-1.6	ERS489134	ERR599013|ERR599130	"http://www.ebi.ac.uk/ena/data/view/ERR599013,ERR599130"	TARA_B100000131	http://www.pangaea.de/search?All&q=TARA_B100000131	TARA_042	2010-04-04T09:50	5.9998	73.9067	80	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_042_DCM_<-0.22	ERS489148	ERR594413	http://www.ebi.ac.uk/ena/data/view/ERR594413	TARA_R100000152	http://www.pangaea.de/search?All&q=TARA_R100000152	TARA_042	2010-04-04T09:50	5.9998	73.9067	80	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_042_SRF_0.22-1.6	ERS489087	ERR599075|ERR599141	"http://www.ebi.ac.uk/ena/data/view/ERR599075,ERR599141"	TARA_B100000123	http://www.pangaea.de/search?All&q=TARA_B100000123	TARA_042	2010-04-04T02:47	6.0001	73.8955	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_042_SRF_<-0.22	ERS489113	ERR594398|ERR594403	"http://www.ebi.ac.uk/ena/data/view/ERR594398,ERR594403"	TARA_R100000149	http://www.pangaea.de/search?All&q=TARA_R100000149	TARA_042	2010-04-04T02:47	6.0001	73.8955	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_045_SRF_0.22-1.6	ERS489236	ERR599045|ERR599054	"http://www.ebi.ac.uk/ena/data/view/ERR599045,ERR599054"	TARA_B100000161	http://www.pangaea.de/search?All&q=TARA_B100000161	TARA_045	2010-04-13T03:21	0.0033	71.6428	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_046_SRF_<-0.22	ERS489285	ERR594376	http://www.ebi.ac.uk/ena/data/view/ERR594376	TARA_R100000406	http://www.pangaea.de/search?All&q=TARA_R100000406	TARA_046	2010-04-15T02:01	-0.6625	73.161	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_048_SRF_0.1-0.22	ERS489324	ERR594314	http://www.ebi.ac.uk/ena/data/view/ERR594314	TARA_Y100000114	http://www.pangaea.de/search?All&q=TARA_Y100000114	TARA_048	2010-04-19T07:56	-9.3921	66.4228	5	(SRF) surface water layer (ENVO:00002042)	0.1	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(ISSG) Indian South Subtropical Gyre Province [MRGID:21472]
TARA_048_SRF_0.22-1.6	ERS489315	ERR599019|ERR599138	"http://www.ebi.ac.uk/ena/data/view/ERR599019,ERR599138"	TARA_B100000242	http://www.pangaea.de/search?All&q=TARA_B100000242	TARA_048	2010-04-19T07:56	-9.3921	66.4228	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(ISSG) Indian South Subtropical Gyre Province [MRGID:21472]
TARA_052_DCM_0.22-1.6	ERS489585	ERR599002|ERR599016	"http://www.ebi.ac.uk/ena/data/view/ERR599002,ERR599016"	TARA_B100000214	http://www.pangaea.de/search?All&q=TARA_B100000214	TARA_052	2010-05-17T11:42	-16.9534	53.9601	75	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(ISSG) Indian South Subtropical Gyre Province [MRGID:21472]
TARA_052_DCM_<-0.22	ERS489603	ERR594394	http://www.ebi.ac.uk/ena/data/view/ERR594394	TARA_R100000234	http://www.pangaea.de/search?All&q=TARA_R100000234	TARA_052	2010-05-17T11:42	-16.9534	53.9601	75	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(ISSG) Indian South Subtropical Gyre Province [MRGID:21472]
TARA_052_SRF_0.22-1.6	ERS489529	ERR599098|ERR599139	"http://www.ebi.ac.uk/ena/data/view/ERR599098,ERR599139"	TARA_B100000212	http://www.pangaea.de/search?All&q=TARA_B100000212	TARA_052	2010-05-17T04:10	-16.957	53.9801	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(ISSG) Indian South Subtropical Gyre Province [MRGID:21472]
TARA_056_MES_0.22-3	ERS489727	ERR599112	http://www.ebi.ac.uk/ena/data/view/ERR599112	TARA_B100000378	http://www.pangaea.de/search?All&q=TARA_B100000378	TARA_056	2010-06-26T07:12:30	-15.3379	43.2948	1000	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_056_SRF_0.22-3	ERS489712	ERR599057	http://www.ebi.ac.uk/ena/data/view/ERR599057	TARA_B000000609	http://www.pangaea.de/search?All&q=TARA_B000000609	TARA_056	2010-06-26T07:05	-15.3424	43.2965	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_057_SRF_0.22-3	ERS489733	ERR599058	http://www.ebi.ac.uk/ena/data/view/ERR599058	TARA_B000000565	http://www.pangaea.de/search?All&q=TARA_B000000565	TARA_057	2010-06-27T12:05	-17.0248	42.7401	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_058_DCM_0.22-3	ERS489846	ERR599026	http://www.ebi.ac.uk/ena/data/view/ERR599026	TARA_B000000557	http://www.pangaea.de/search?All&q=TARA_B000000557	TARA_058	2010-06-29T15:00	-17.2855	42.2866	66	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_062_SRF_0.22-3	ERS489877	ERR599012	http://www.ebi.ac.uk/ena/data/view/ERR599012	TARA_B000000532	http://www.pangaea.de/search?All&q=TARA_B000000532	TARA_062	2010-07-03T08:09	-22.3368	40.3412	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_064_DCM_0.1-0.22	ERS490010	ERR594324	http://www.ebi.ac.uk/ena/data/view/ERR594324	TARA_Y100000401	http://www.pangaea.de/search?All&q=TARA_Y100000401	TARA_064	2010-07-08T06:21	-29.5333	37.9117	65	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.1	0.22	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_064_DCM_0.22-3	ERS490002	ERR598972|ERR599023|ERR599025	"http://www.ebi.ac.uk/ena/data/view/ERR598972,ERR599023,ERR599025"	TARA_B100000405	http://www.pangaea.de/search?All&q=TARA_B100000405	TARA_064	2010-07-08T06:21	-29.5333	37.9117	65	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_064_DCM_<-0.22	ERS490026	ERR594385	http://www.ebi.ac.uk/ena/data/view/ERR594385	TARA_R100000315	http://www.pangaea.de/search?All&q=TARA_R100000315	TARA_064	2010-07-08T06:21	-29.5333	37.9117	65	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_064_MES_0.22-3	ERS489987	ERR599021|ERR599164	"http://www.ebi.ac.uk/ena/data/view/ERR599021,ERR599164"	TARA_B100000408	http://www.pangaea.de/search?All&q=TARA_B100000408	TARA_064	2010-07-07T12:13:35	-29.5046	37.9599	1000	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_064_SRF_0.22-3	ERS489917	ERR598970|ERR599088|ERR599150	"http://www.ebi.ac.uk/ena/data/view/ERR598970,ERR599088,ERR599150"	TARA_B100000401	http://www.pangaea.de/search?All&q=TARA_B100000401	TARA_064	2010-07-07T04:48	-29.5019	37.9889	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_064_SRF_<-0.22	ERS489943	ERR594392	http://www.ebi.ac.uk/ena/data/view/ERR594392	TARA_R100000322	http://www.pangaea.de/search?All&q=TARA_R100000322	TARA_064	2010-07-07T04:48	-29.5019	37.9889	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_065_DCM_0.1-0.22	ERS490089	ERR594291	http://www.ebi.ac.uk/ena/data/view/ERR594291	TARA_Y100000361	http://www.pangaea.de/search?All&q=TARA_Y100000361	TARA_065	2010-07-12T11:03:22	-35.2421	26.3048	30	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.1	0.22	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_065_DCM_0.22-3	ERS490085	ERR598990|ERR599018|ERR599110	"http://www.ebi.ac.uk/ena/data/view/ERR598990,ERR599018,ERR599110"	TARA_B000000441	http://www.pangaea.de/search?All&q=TARA_B000000441	TARA_065	2010-07-12T11:03:22	-35.2421	26.3048	30	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_065_DCM_<-0.22	ERS490120	ERR594382|ERR594414	"http://www.ebi.ac.uk/ena/data/view/ERR594382,ERR594414"	TARA_R100001198	http://www.pangaea.de/search?All&q=TARA_R100001198	TARA_065	2010-07-12T11:03:22	-35.2421	26.3048	30	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_065_MES_0.22-3	ERS490065	ERR598960|ERR599034	"http://www.ebi.ac.uk/ena/data/view/ERR598960,ERR599034"	TARA_B000000460	http://www.pangaea.de/search?All&q=TARA_B000000460	TARA_065	2010-07-12T06:46:23	-35.1889	26.2905	850	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_065_SRF_0.1-0.22	ERS490035	ERR594320	http://www.ebi.ac.uk/ena/data/view/ERR594320	TARA_Y100000356	http://www.pangaea.de/search?All&q=TARA_Y100000356	TARA_065	2010-07-12T05:59	-35.1728	26.2868	5	(SRF) surface water layer (ENVO:00002042)	0.1	0.22	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_065_SRF_0.22-3	ERS490029	ERR598979|ERR599146	"http://www.ebi.ac.uk/ena/data/view/ERR598979,ERR599146"	TARA_B000000437	http://www.pangaea.de/search?All&q=TARA_B000000437	TARA_065	2010-07-12T05:59	-35.1728	26.2868	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_065_SRF_<-0.22	ERS490053	ERR594359|ERR594361	"http://www.ebi.ac.uk/ena/data/view/ERR594359,ERR594361"	TARA_R100001230	http://www.pangaea.de/search?All&q=TARA_R100001230	TARA_065	2010-07-12T05:59	-35.1728	26.2868	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(EAFR) Eastern Africa Coastal Province [MRGID:21473]
TARA_066_DCM_0.22-3	ERS490163	ERR598982|ERR599107	"http://www.ebi.ac.uk/ena/data/view/ERR598982,ERR599107"	TARA_B000000477	http://www.pangaea.de/search?All&q=TARA_B000000477	TARA_066	2010-07-15T15:36:10	-34.8901	18.0459	30	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Coastal Biome 	(SAO) South Atlantic Ocean [MRGID:1914]	(BENG) Benguela Current Coastal Province [MRGID:21470]
TARA_066_DCM_<-0.22	ERS490180	ERR594389	http://www.ebi.ac.uk/ena/data/view/ERR594389	TARA_R100000908	http://www.pangaea.de/search?All&q=TARA_R100000908	TARA_066	2010-07-15T15:36:10	-34.8901	18.0459	30	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Coastal Biome 	(SAO) South Atlantic Ocean [MRGID:1914]	(BENG) Benguela Current Coastal Province [MRGID:21470]
TARA_066_SRF_0.22-3	ERS490124	ERR598973|ERR599068|ERR599173	"http://www.ebi.ac.uk/ena/data/view/ERR598973,ERR599068,ERR599173"	TARA_B000000475	http://www.pangaea.de/search?All&q=TARA_B000000475	TARA_066	2010-07-15T12:22	-34.9449	17.9189	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Coastal Biome 	(SAO) South Atlantic Ocean [MRGID:1914]	(BENG) Benguela Current Coastal Province [MRGID:21470]
TARA_066_SRF_<-0.22	ERS490142	ERR594362	http://www.ebi.ac.uk/ena/data/view/ERR594362	TARA_R100000900	http://www.pangaea.de/search?All&q=TARA_R100000900	TARA_066	2010-07-15T12:22	-34.9449	17.9189	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Coastal Biome 	(SAO) South Atlantic Ocean [MRGID:1914]	(BENG) Benguela Current Coastal Province [MRGID:21470]
TARA_067_SRF_0.22-3	ERS490183	ERR598994|ERR599144	"http://www.ebi.ac.uk/ena/data/view/ERR598994,ERR599144"	TARA_B100000497	http://www.pangaea.de/search?All&q=TARA_B100000497	TARA_067	2010-09-07T06:19	-32.2401	17.7103	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Coastal Biome 	(SAO) South Atlantic Ocean [MRGID:1914]	(BENG) Benguela Current Coastal Province [MRGID:21470]
TARA_067_SRF_0.22-0.45	ERS490192	ERR594313	http://www.ebi.ac.uk/ena/data/view/ERR594313	TARA_Y100000389	http://www.pangaea.de/search?All&q=TARA_Y100000389	TARA_067	2010-09-07T06:19	-32.2401	17.7103	5	(SRF) surface water layer (ENVO:00002042)	0.22	0.45	Coastal Biome 	(SAO) South Atlantic Ocean [MRGID:1914]	(BENG) Benguela Current Coastal Province [MRGID:21470]
TARA_067_SRF_0.45-0.8	ERS490193	ERR594325	http://www.ebi.ac.uk/ena/data/view/ERR594325	TARA_Y100000385	http://www.pangaea.de/search?All&q=TARA_Y100000385	TARA_067	2010-09-07T06:19	-32.2401	17.7103	5	(SRF) surface water layer (ENVO:00002042)	0.45	0.8	Coastal Biome 	(SAO) South Atlantic Ocean [MRGID:1914]	(BENG) Benguela Current Coastal Province [MRGID:21470]
TARA_067_SRF_<-0.22	ERS490204	ERR594395|ERR594404	"http://www.ebi.ac.uk/ena/data/view/ERR594395,ERR594404"	TARA_R100000951	http://www.pangaea.de/search?All&q=TARA_R100000951	TARA_067	2010-09-07T06:19	-32.2401	17.7103	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Coastal Biome 	(SAO) South Atlantic Ocean [MRGID:1914]	(BENG) Benguela Current Coastal Province [MRGID:21470]
TARA_068_DCM_0.22-3	ERS490296	ERR599017|ERR599056|ERR599103	"http://www.ebi.ac.uk/ena/data/view/ERR599017,ERR599056,ERR599103"	TARA_B100000482	http://www.pangaea.de/search?All&q=TARA_B100000482	TARA_068	2010-09-14T13:30	-31.027	4.6802	50	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_068_DCM_0.22-0.45	ERS490303	ERR594294	http://www.ebi.ac.uk/ena/data/view/ERR594294	TARA_Y100000748	http://www.pangaea.de/search?All&q=TARA_Y100000748	TARA_068	2010-09-14T13:30	-31.027	4.6802	50	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	0.45	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_068_DCM_0.45-0.8	ERS490304	ERR594348	http://www.ebi.ac.uk/ena/data/view/ERR594348	TARA_Y100000746	http://www.pangaea.de/search?All&q=TARA_Y100000746	TARA_068	2010-09-14T13:30	-31.027	4.6802	50	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.45	0.8	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_068_DCM_<-0.22	ERS490320	ERR594415	http://www.ebi.ac.uk/ena/data/view/ERR594415	TARA_R100000995	http://www.pangaea.de/search?All&q=TARA_R100000995	TARA_068	2010-09-14T13:30	-31.027	4.6802	50	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_068_MES_0.22-3	ERS490230	ERR598947|ERR599131	"http://www.ebi.ac.uk/ena/data/view/ERR598947,ERR599131"	TARA_B100000470	http://www.pangaea.de/search?All&q=TARA_B100000470	TARA_068	2010-09-13T13:02:33	-31.0198	4.6685	700	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_068_MES_0.45-0.8	ERS490238	ERR594302	http://www.ebi.ac.uk/ena/data/view/ERR594302	TARA_Y100000758	http://www.pangaea.de/search?All&q=TARA_Y100000758	TARA_068	2010-09-13T13:02:33	-31.0198	4.6685	700	(MES) mesopelagic zone (ENVO:00000213)	0.45	0.8	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_068_SRF_0.22-3	ERS490265	ERR599129|ERR599171|ERR599174	"http://www.ebi.ac.uk/ena/data/view/ERR599129,ERR599171,ERR599174"	TARA_B100000475	http://www.pangaea.de/search?All&q=TARA_B100000475	TARA_068	2010-09-14T06:55	-31.0266	4.665	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_068_SRF_0.22-0.45	ERS490272	ERR594318	http://www.ebi.ac.uk/ena/data/view/ERR594318	TARA_Y100000741	http://www.pangaea.de/search?All&q=TARA_Y100000741	TARA_068	2010-09-14T06:55	-31.0266	4.665	5	(SRF) surface water layer (ENVO:00002042)	0.22	0.45	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_068_SRF_0.45-0.8	ERS490273	ERR594297	http://www.ebi.ac.uk/ena/data/view/ERR594297	TARA_Y100000739	http://www.pangaea.de/search?All&q=TARA_Y100000739	TARA_068	2010-09-14T06:55	-31.0266	4.665	5	(SRF) surface water layer (ENVO:00002042)	0.45	0.8	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_068_SRF_<-0.22	ERS490285	ERR594391	http://www.ebi.ac.uk/ena/data/view/ERR594391	TARA_R100000988	http://www.pangaea.de/search?All&q=TARA_R100000988	TARA_068	2010-09-14T06:55	-31.0266	4.665	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_070_MES_0.22-3	ERS490373	ERR599044|ERR599149	"http://www.ebi.ac.uk/ena/data/view/ERR599044,ERR599149"	TARA_B100000446	http://www.pangaea.de/search?All&q=TARA_B100000446	TARA_070	2010-09-21T11:57:54	-20.4075	-3.1641	800	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_070_MES_0.22-0.45	ERS490380	ERR594299|ERR594308	"http://www.ebi.ac.uk/ena/data/view/ERR594299,ERR594308"	TARA_Y100000782	http://www.pangaea.de/search?All&q=TARA_Y100000782	TARA_070	2010-09-21T11:57:54	-20.4075	-3.1641	800	(MES) mesopelagic zone (ENVO:00000213)	0.22	0.45	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_070_MES_0.45-0.8	ERS490382	ERR594331	http://www.ebi.ac.uk/ena/data/view/ERR594331	TARA_Y100000780	http://www.pangaea.de/search?All&q=TARA_Y100000780	TARA_070	2010-09-21T11:57:54	-20.4075	-3.1641	800	(MES) mesopelagic zone (ENVO:00000213)	0.45	0.8	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_070_MES_<-0.22	ERS490388	ERR594407	http://www.ebi.ac.uk/ena/data/view/ERR594407	TARA_R100001039	http://www.pangaea.de/search?All&q=TARA_R100001039	TARA_070	2010-09-21T11:57:54	-20.4075	-3.1641	800	(MES) mesopelagic zone (ENVO:00000213)	<	0.22	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_070_SRF_0.22-3	ERS490327	ERR599135|ERR599165	"http://www.ebi.ac.uk/ena/data/view/ERR599135,ERR599165"	TARA_B100000459	http://www.pangaea.de/search?All&q=TARA_B100000459	TARA_070	2010-09-21T06:55	-20.4091	-3.1759	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_070_SRF_0.22-0.45	ERS490336	ERR594349	http://www.ebi.ac.uk/ena/data/view/ERR594349	TARA_Y100000768	http://www.pangaea.de/search?All&q=TARA_Y100000768	TARA_070	2010-09-21T06:55	-20.4091	-3.1759	5	(SRF) surface water layer (ENVO:00002042)	0.22	0.45	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_070_SRF_0.45-0.8	ERS490337	ERR594335	http://www.ebi.ac.uk/ena/data/view/ERR594335	TARA_Y100000766	http://www.pangaea.de/search?All&q=TARA_Y100000766	TARA_070	2010-09-21T06:55	-20.4091	-3.1759	5	(SRF) surface water layer (ENVO:00002042)	0.45	0.8	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_070_SRF_<-0.22	ERS490346	ERR594353	http://www.ebi.ac.uk/ena/data/view/ERR594353	TARA_R100001015	http://www.pangaea.de/search?All&q=TARA_R100001015	TARA_070	2010-09-21T06:55	-20.4091	-3.1759	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_072_DCM_0.22-3	ERS490476	ERR599133|ERR599137	"http://www.ebi.ac.uk/ena/data/view/ERR599133,ERR599137"	TARA_B100000427	http://www.pangaea.de/search?All&q=TARA_B100000427	TARA_072	2010-10-05T15:35	-8.7296	-17.9604	100	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_072_DCM_<-0.22	ERS490494	ERR594379	http://www.ebi.ac.uk/ena/data/view/ERR594379	TARA_R100001082	http://www.pangaea.de/search?All&q=TARA_R100001082	TARA_072	2010-10-05T15:35	-8.7296	-17.9604	100	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_072_MES_0.22-3	ERS490507	ERR599005|ERR599048	"http://www.ebi.ac.uk/ena/data/view/ERR599005,ERR599048"	TARA_B100000508	http://www.pangaea.de/search?All&q=TARA_B100000508	TARA_072	2010-10-06T07:58:54	-8.7986	-17.9034	800	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_072_MES_<-0.22	ERS490522	ERR594388	http://www.ebi.ac.uk/ena/data/view/ERR594388	TARA_R100001086	http://www.pangaea.de/search?All&q=TARA_R100001086	TARA_072	2010-10-06T07:58:54	-8.7986	-17.9034	800	(MES) mesopelagic zone (ENVO:00000213)	<	0.22	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_072_SRF_0.22-3	ERS490433	ERR598984|ERR599105	"http://www.ebi.ac.uk/ena/data/view/ERR598984,ERR599105"	TARA_B100000424	http://www.pangaea.de/search?All&q=TARA_B100000424	TARA_072	2010-10-05T08:00	-8.7789	-17.9099	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_072_SRF_<-0.22	ERS490452	ERR594364	http://www.ebi.ac.uk/ena/data/view/ERR594364	TARA_R100001079	http://www.pangaea.de/search?All&q=TARA_R100001079	TARA_072	2010-10-05T08:00	-8.7789	-17.9099	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
