PANGAEA sample id	Raw bases	Raw reads	HQ bases	HQ reads	Avg read length	Scaftigs	Total length	Max length	N50	Predicted genes
TARA_E500000331	38429585977	387230740	32078718535	349127221	92	394880	427670679	230790	1122	720456
TARA_E500000318	10151737699	104229466	8047803494	88882268	91	106865	126771568	389689	1289	217365
TARA_E500000178	45364380801	458295920	36509375758	402302512	91	415914	466664745	186988	1194	765561
TARA_X000001388	8324627050	82422050	4341205476	51480300	84	58037	71260479	102333	1386	124842
TARA_A100001011	38168715484	367820654	29087479043	314948276	92	449909	522595044	155731	1253	851822
TARA_A100001015	49860767472	488612256	37872435439	425125871	89	381015	477104260	136601	1476	743052
TARA_A100001391	12880228543	133926492	9781153520	109983931	89	133269	176932899	326496	1569	280830
TARA_A100001388	39613032834	403538306	31711411531	347841493	91	302316	290229109	171134	950	506972
TARA_A100001518	11628801932	129287490	8621285766	102479564	84	39796	52674887	89013	1601	82201
TARA_A100001037	39070457496	394451818	31395998812	347981762	90	354590	400574806	166759	1209	643223
TARA_A100001515	10562466476	104578876	7766140831	86631377	90	108815	119545237	96984	1156	216493
TARA_A100001035	39702911633	398181184	34468523123	371335866	93	292405	290397913	157474	994	505535
TARA_A100001234	25388723426	255740402	20412238800	226154770	90	223259	227580717	116348	1040	392456
TARA_R100000008	8490516318	84064518	5409085351	62738248	86	89292	93001527	45895	1066	174100
TARA_B100000029	44307136749	450135214	35014779558	393164825	89	514507	606331330	238780	1287	969286
TARA_R100000005	11862752399	122790156	9322347712	103217009	90	108607	124730195	100483	1230	213231
TARA_Y100000004	21048737744	208403344	17350498434	188503021	92	216451	241354680	64548	1192	432065
TARA_B100000003	24041633151	241970908	19657849041	217040159	91	209494	224931784	93543	1127	374306
TARA_R100000030	8066548214	79866814	5911147224	66245846	89	62949	68908090	52582	1154	123893
TARA_B100000035	39900606999	402672664	32248846606	354661545	91	321818	329970637	79929	1046	571825
TARA_R100000027	7164049847	74303174	4398717895	51353178	86	47870	55656088	72613	1238	94462
TARA_Y100000015	4840384802	47924602	4094378804	44724459	92	48837	50445464	43474	1058	93043
TARA_Y100000022	25120977094	252063110	21293071317	231266779	92	215073	215891404	114457	1015	382487
TARA_Y100000310	53806509316	532737716	40857089374	460678121	89	415187	499927109	137305	1340	834176
TARA_B100000315	39444108747	399390808	31673505619	353519208	90	324524	384487678	226717	1300	599846
TARA_R100000084	9090103405	94242878	6819526367	76341495	89	80476	81346176	166886	1002	152875
TARA_B100000073	41230623053	420102752	32888132398	371929687	88	313451	337748465	70689	1124	574928
TARA_Y100000296	15910889156	157533556	12700488823	141386981	90	130636	161772794	793528	1395	264690
TARA_Y100000294	25645642639	260588896	20229086781	226744396	89	188318	218824771	167433	1249	343270
TARA_R100000081	11053756844	114048860	8429874383	94024543	90	95472	94747858	89522	1001	179592
TARA_Y100000289	7123898044	70533644	6007669036	65622920	92	82754	83092058	53378	1019	156554
TARA_Y100000287	26054463799	262268056	21624283322	235650989	92	207550	200143804	82812	965	363959
TARA_R100000482	8766294338	90832226	6482225763	72620761	89	81544	79053090	55369	967	153265
TARA_B100000085	33517466310	338044892	28692681530	310834821	92	289432	304446206	79161	1104	520663
TARA_Y100000034	18568109064	183842664	15258308769	167664600	91	209651	252387871	593644	1343	425236
TARA_Y100000031	27336542903	277574946	21863046972	243015035	90	213680	260558501	840238	1349	402296
TARA_R100000479	11072221174	114493726	8386216672	93762294	89	108689	109395012	329857	1003	207551
TARA_Y100000033	5046425408	49964608	4237615442	46396853	91	60969	64984048	53395	1106	117948
TARA_X000000368	46921806528	476921334	36482424718	407529708	90	419547	426798730	90694	1033	725424
TARA_Y200000002	40246872757	404962514	33050958972	363703213	91	380180	390957942	142140	1048	667220
TARA_R100000458	20883967152	206771952	13220699094	150435138	88	141590	137847849	86587	965	255115
TARA_B100000287	45916814074	463832998	36495499531	404332442	90	431637	463572732	89642	1132	795123
TARA_R100000455	8275243140	85317778	7049133939	76540855	92	76620	68561513	236571	858	131525
TARA_Y100000052	5703026206	56465606	4384033842	47896677	92	47352	53135041	221716	1149	89964
TARA_B100000282	43568358343	440876102	35044844581	388219450	90	290342	274135056	73423	935	495230
TARA_R100000152	11726672103	120008604	9690627610	105223442	92	124695	117074294	86629	924	219985
TARA_B100000131	42367040837	430413408	33354896724	369649573	90	333437	365341721	207397	1161	614682
TARA_R100000149	9634818792	99112476	7648150778	84189089	91	78877	79562851	237317	982	146321
TARA_B100000123	39843761133	402211598	31732880846	351029466	90	254689	241803978	143838	939	434297
TARA_B100000161	38861304873	391430950	32482641308	355804280	91	252061	236742933	134954	926	419450
TARA_R100000406	7386668340	77435642	4319202864	51449646	84	62491	70690895	64669	1224	125533
TARA_Y100000114	18314899640	181335640	15424581813	167978039	92	173122	184241368	134484	1092	332418
TARA_B100000242	49251163083	499600618	37415337514	422880216	88	284837	284105078	102475	1002	494026
TARA_R100000234	9783198350	96863350	7114546930	79317721	90	96826	96013147	56909	993	181583
TARA_B100000214	38748915771	389259730	32780527474	357543306	92	368954	347792958	112125	929	631955
TARA_B100000212	40310023353	404906778	33700077453	367066636	92	310716	311149637	203192	1003	539034
TARA_B100000378	42206367652	434938762	31249984054	359789956	87	233673	252647422	149816	1117	415057
TARA_B000000609	32202657505	324775688	27147736134	296031939	92	216738	199208958	32503	904	360521
TARA_B000000565	32306307192	336385740	25283526505	295821463	85	219873	219993081	224574	1016	376777
TARA_B000000557	33468984338	337711862	27958060605	311817516	90	269304	263988642	80955	995	461580
TARA_B000000532	28948356295	291429494	25383818135	271699742	93	242066	232557628	67621	963	411393
TARA_R100000315	8941983086	88534486	6478596095	72587123	89	82045	76135561	28421	912	148013
TARA_Y100000401	12664210018	125388218	10404579791	116374590	89	121263	116245743	51795	945	228386
TARA_B100000405	41973344210	415343134	32062298644	354436678	90	263992	258136502	50586	988	421593
TARA_B100000408	24274527883	246180126	19610885256	215982851	91	142001	135895601	51869	955	228996
TARA_R100000322	9324189434	96542160	6786497677	76757086	88	96029	112271832	368631	1241	192046
TARA_B100000401	64356822843	633099146	53582940683	574967451	93	447685	410703923	63057	906	725782
TARA_R100001198	10951012272	113406914	8334556744	92921923	90	112275	123523747	157796	1131	222082
TARA_Y100000361	18924462516	187370916	15447773062	169942521	91	186112	182409573	74957	977	348167
TARA_B000000441	42482217834	436200002	35169441663	386425592	91	232561	204636356	29695	857	364120
TARA_B000000460	44175460384	447472502	35558991829	394236908	90	243785	245588629	102155	1013	405469
TARA_R100001230	11437314322	119317304	8699932095	97138288	90	112527	107350344	68085	942	204474
TARA_Y100000356	17828138624	176516224	14135340167	159788106	88	158602	153011054	74490	953	294144
TARA_B000000437	28898177104	291527114	22819792516	253992444	90	193172	184763047	120643	955	322766
TARA_R100000908	9043371636	93801200	6523779223	74116386	88	77325	87264639	441614	1145	152304
TARA_B000000477	16400303280	151854660	12525467969	132309700	95	136056	128609590	112987	946	229715
TARA_R100000900	8487090866	87897252	6039459192	68524150	88	73916	103448302	579780	1699	166859
TARA_B000000475	33050802869	323328644	25300379336	280087895	90	266433	259434938	97068	979	450834
TARA_R100000951	8509424692	87944068	6329322766	70807902	89	84569	110363245	441273	1537	185570
TARA_Y100000389	35192528678	348440878	26877946496	310167714	87	284320	326895058	82414	1243	531744
