sample	read filename	metaG/metaT					
TARA_137_MES_lt-0.22_G	APX_AEPOSW_4_C2LW3ACXX.IND28_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_137_DCM_lt-0.22_G	APX_AEQOSW_4_C2LW3ACXX.IND29_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_138_SRF_lt-0.22_G	APX_AEROSW_4_C2LW3ACXX.IND30_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_138_MES_lt-0.22_G	APX_AESOSW_4_C2MNYACXX.IND31_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_138_DCM_lt-0.22_G	APX_AETOSW_4_C2MNYACXX.IND32_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_155_SRF_0.22-3_G	BMI_AAAIOSF_1_C7C83ACXX.IND6_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_155_DCM_0.22-3_G	BMI_AABIOSF_7_C7C2PACXX.IND17_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_155_MES_0.22-3_G	BMI_AACIOSF_8_C7C2PACXX.IND18_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_158_DCM_0.22-3_G	BMI_AADIOSF_3_C7C8WACXX.IND34_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_158_MES_0.22-3_G	BMI_AAEIOSF_1_C7CAKACXX.IND16_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_158_SRF_0.22-3_G	BMI_AAFIOSF_2_C7C83ACXX.IND9_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_163_MES_0.22-3_G	BMI_AAGIOSF_3_C7C83ACXX.IND7_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_163_SRF_0.22-3_G	BMI_AAHIOSF_2_C7CAKACXX.IND1_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_168_DCM_0.22-3_G	BMI_AAIIOSF_4_C7C8WACXX.IND35_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_168_IZZ_0.22-3_G	BMI_AAKIOSF_3_C7CAKACXX.IND26_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_168_SRF_0.22-3_G	BMI_AALIOSF_4_C7CAKACXX.IND25_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_173_IZZ_0.22-3_G	BMI_AAMIOSF_7_C7BJ1ACXX.IND12_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_173_DCM_0.22-3_G	BMI_AANIOSF_5_C7CAKACXX.IND5_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_173_SRF_0.22-3_G	BMI_AAPIOSF_5_C7C8WACXX.IND36_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_175_SRF_0.22-3_G	BMI_AAQIOSF_5_C7CAFACXX.IND14_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_175_ZZZ_0.22-3_G	BMI_AARIOSF_6_C7C8WACXX.IND37_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_178_SRF_0.22-3_G	BMI_AASIOSF_6_C7CAKACXX.IND4_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_180_SRF_0.22-3_G	BMI_AATIOSF_7_C7C8WACXX.IND38_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_180_ZZZ_0.22-3_G	BMI_AAVIOSF_6_C7BWPACXX.IND11_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_188_DCM_0.22-3_G	BMI_AAXIOSF_6_C7CAFACXX.IND13_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_188_SRF_0.22-3_G	BMI_ABAIOSF_1_C7C9HACXX.IND15_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_189_DCM_0.22-3_G	BMI_ABBIOSF_8_C7C8WACXX.IND39_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_189_MES_0.22-3_G	BMI_ABCIOSF_3_C7APVACXX.IND40_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_189_SRF_0.22-3_G	BMI_ABDIOSF_2_C7C9HACXX.IND28_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_191_SRF_0.22-3_G	BMI_ABEIOSF_7_C7BWPACXX.IND8_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_193_SRF_0.22-3_G	BMI_ABFIOSF_8_C7BWPACXX.IND3_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_194_DCM_0.22-3_G	BMI_ABGIOSF_4_C7APVACXX.IND41b_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_194_SRF_0.22-3_G	BMI_ABHIOSF_3_C7C9HACXX.IND20_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_196_SRF_0.22-3_G	BMI_ABIIOSF_4_C7C9HACXX.IND24_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_201_DCM_0.22-3_G	BMI_ABKIOSF_5_C7APVACXX.IND42_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_201_MES_0.22-3_G	BMI_ABLIOSF_6_C7APVACXX.IND43_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_201_SRF_0.22-3_G	BMI_ABMIOSF_5_C7C9HACXX.IND23_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_205_MES_0.22-3_G	BMI_ABNIOSF_7_C7APVACXX.IND44_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_205_SRF_0.22-3_G	BMI_ABPIOSF_6_C7C9HACXX.IND22_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_206_MES_0.22-3_G	BMI_ABQIOSF_7_C7C9HACXX.IND21_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_206_SRF_0.22-3_G	BMI_ABRIOSF_8_C7C9HACXX.IND27_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_208_SRF_0.22-3_G	BMI_ABSIOSF_8_C7APVACXX.IND45_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_209_MES_0.22-3_G	BMI_ABTIOSF_1_C7ALDACXX.IND46_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_209_SRF_0.22-3_G	BMI_ABVIOSF_3_C7C9NACXX.IND19_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_210_MES_0.22-3_G	BMI_ABXIOSF_2_C7ALDACXX.IND47_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_210_SRF_0.22-3_G	BMI_ACAIOSF_8_C7CAFACXX.IND2_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_155_DCM_lt-0.22_G	BNA_AAAOSW_1_C7RNHACXX.IND11_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_155_DCM_lt-0.22_G	BNA_AAAOSW_6_C7ALHACXX.IND11_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_155_MES_lt-0.22_G	BNA_AABOSW_2_C7RNHACXX.IND16_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_155_MES_lt-0.22_G	BNA_AABOSW_7_C7ALHACXX.IND16_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_155_SRF_lt-0.22_G	BNA_AACOSW_2_C7BJ1ACXX.IND31_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_155_SRF_lt-0.22_G	BNA_AACOSW_3_C7RNHACXX.IND31_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_158_DCM_lt-0.22_G	BNA_AADOSW_4_C7RNHACXX.IND7_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_158_DCM_lt-0.22_G	BNA_AADOSW_6_C7ALHACXX.IND7_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_158_MES_lt-0.22_G	BNA_AAEOSW_5_C7RNHACXX.IND18_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_158_MES_lt-0.22_G	BNA_AAEOSW_7_C7ALHACXX.IND18_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_158_SRF_lt-0.22_G	BNA_AAFOSW_5_C7AD3ACXX.IND17_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_158_SRF_lt-0.22_G	BNA_AAFOSW_6_C7RNHACXX.IND17_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_163_MES_lt-0.22_G	BNA_AAGOSW_5_C7AD3ACXX.IND26_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_163_MES_lt-0.22_G	BNA_AAGOSW_7_C7RNHACXX.IND26_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_163_SRF_lt-0.22_G	BNA_AAHOSW_6_C7ALHACXX.IND8_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_163_SRF_lt-0.22_G	BNA_AAHOSW_8_C7RNHACXX.IND8_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_168_DCM_lt-0.22_G	BNA_AAIOSW_1_C7T4MACXX.IND13_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_168_DCM_lt-0.22_G	BNA_AAIOSW_6_C7ALHACXX.IND13_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_168_IZZ_lt-0.22_G	BNA_AAKOSW_2_C7T4MACXX.IND14_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_168_IZZ_lt-0.22_G	BNA_AAKOSW_7_C7ALHACXX.IND14_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_168_SRF_lt-0.22_G	BNA_AALOSW_2_C7BJ1ACXX.IND32_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_168_SRF_lt-0.22_G	BNA_AALOSW_3_C7T4MACXX.IND32_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_173_DCM_lt-0.22_G	BNA_AAMOSW_4_C7T4MACXX.IND9_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_173_DCM_lt-0.22_G	BNA_AAMOSW_7_C7ALHACXX.IND9_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_173_SRF_lt-0.22_G	BNA_AANOSW_2_C7BJ1ACXX.IND33_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_173_SRF_lt-0.22_G	BNA_AANOSW_5_C7T4MACXX.IND33_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_175_IZZ_lt-0.22_G	BNA_AAPOSW_5_C7AD3ACXX.IND15_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_175_IZZ_lt-0.22_G	BNA_AAPOSW_6_C7T4MACXX.IND15_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_175_SRF_lt-0.22_G	BNA_AAQOSW_7_C7T4MACXX.IND27_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_175_SRF_lt-0.22_G	BNA_AAQOSW_8_C7ALHACXX.IND27_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_175_ZZZ_lt-0.22_G	BNA_AAROSW_5_C7AD3ACXX.IND14_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_175_ZZZ_lt-0.22_G	BNA_AAROSW_8_C7T4MACXX.IND14_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_178_SRF_lt-0.22_G	BNA_AASOSW_1_C7T1BACXX.IND19_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_178_SRF_lt-0.22_G	BNA_AASOSW_8_C7ALHACXX.IND19_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_180_SRF_lt-0.22_G	BNA_AATOSW_2_C7C9DACXX.IND41b_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_180_SRF_lt-0.22_G	BNA_AATOSW_2_C7T1BACXX.IND41b_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_180_ZZZ_lt-0.22_G	BNA_AAVOSW_3_C7T1BACXX.IND29_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_180_ZZZ_lt-0.22_G	BNA_AAVOSW_4_C7ANJACXX.IND29_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_188_DCM_lt-0.22_G	BNA_AAXOSW_4_C7T1BACXX.IND15_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_188_DCM_lt-0.22_G	BNA_AAXOSW_8_C7ALHACXX.IND15_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_188_SRF_lt-0.22_G	BNA_ABAOSW_1_C7BJ1ACXX.IND20_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_188_SRF_lt-0.22_G	BNA_ABAOSW_5_C7T1BACXX.IND20_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_189_DCM_lt-0.22_G	BNA_ABBOSW_2_C7C9DACXX.IND42_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_189_DCM_lt-0.22_G	BNA_ABBOSW_2_C7C9DACXX.IND43_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_189_DCM_lt-0.22_G	BNA_ABBOSW_6_C7T1BACXX.IND43_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_189_MES_lt-0.22_G	BNA_ABCOSW_4_C7ANJACXX.IND30_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_189_MES_lt-0.22_G	BNA_ABCOSW_7_C7T1BACXX.IND30_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_189_SRF_lt-0.22_G	BNA_ABDOSW_2_C7C9DACXX.IND42_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_189_SRF_lt-0.22_G	BNA_ABDOSW_2_C7C9DACXX.IND43_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_189_SRF_lt-0.22_G	BNA_ABDOSW_8_C7T1BACXX.IND42_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_191_SRF_lt-0.22_G	BNA_ABEOSW_1_C7RRDACXX.IND44_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_191_SRF_lt-0.22_G	BNA_ABEOSW_2_C7C9DACXX.IND44_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_193_SRF_lt-0.22_G	BNA_ABFAOSW_8_C7ALHACXX.IND28_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_193_SRF_lt-0.22_G	BNA_ABFOSW_2_C7RRDACXX.IND45_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_193_SRF_lt-0.22_G	BNA_ABFOSW_4_C7ANJACXX.IND45_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_194_DCM_lt-0.22_G	BNA_ABGOSW_3_C7RRDACXX.IND47_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_194_DCM_lt-0.22_G	BNA_ABGOSW_4_C7ANJACXX.IND47_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_194_SRF_lt-0.22_G	BNA_ABHOSW_4_C7RRDACXX.IND46_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_194_SRF_lt-0.22_G	BNA_ABHOSW_5_C7ANJACXX.IND46_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_196_SRF_lt-0.22_G	BNA_ABIOSW_5_C7ANJACXX.IND48_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_196_SRF_lt-0.22_G	BNA_ABIOSW_5_C7RRDACXX.IND48_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_201_DCM_lt-0.22_G	BNA_ABKAOSW_6_C7AD3ACXX.IND20_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_201_DCM_lt-0.22_G	BNA_ABKOSW_4_C7AD3ACXX.IND10_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_201_DCM_lt-0.22_G	BNA_ABKOSW_6_C7RRDACXX.IND10_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_201_MES_lt-0.22_G	BNA_ABLOSW_5_C7ANJACXX.IND32_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_201_MES_lt-0.22_G	BNA_ABLOSW_7_C7RRDACXX.IND32_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_201_SRF_lt-0.22_G	BNA_ABMAOSW_2_C7BJ1ACXX.IND34_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_201_SRF_lt-0.22_G	BNA_ABMOSW_1_C7T48ACXX.IND31_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
