OMRGC_ID	TARA_X100000009	TARA_A200000327	TARA_A200000369	TARA_A100000165	TARA_A100000220	TARA_S200002603	TARA_E500000176	TARA_A100001401	TARA_A100001026	TARA_A100001195	TARA_B100000315	TARA_B100000071	TARA_B100000091	TARA_B100000101	TARA_B100000089	TARA_B100000120	TARA_B100000110	TARA_B100000116	TARA_B100000287	TARA_B100000282	TARA_B100000133	TARA_B100000127	TARA_B100000143	TARA_B100000267	TARA_B100000261	TARA_B100000248	TARA_B100000236	TARA_B100000178	TARA_B100000194	TARA_B100000214	TARA_B100000212	TARA_B100000353	TARA_B100000355	TARA_B100000493	TARA_B100000480	TARA_B100000473	TARA_B100000444	TARA_B100000457	TARA_B100000436	TARA_B100000422	TARA_B100000420	TARA_B100000515	TARA_B100000747	TARA_B100000513	TARA_B100000526	TARA_B100000524	TARA_B100000713	TARA_B100000834	TARA_B100000832	TARA_B100000767	TARA_B100000768	TARA_B100000765	TARA_B100000780	TARA_B100000795	TARA_B100000787	TARA_B100000813	TARA_B100000811	TARA_B100000562	TARA_B100000851	TARA_B100000858	TARA_B100000801	TARA_B100000865	TARA_B100000872	TARA_B100001061	TARA_B100001064	TARA_B100000987	TARA_B100000986	TARA_B100000973	TARA_B100001000	TARA_B100000994	TARA_B100001033	TARA_B100001010	TARA_B100001031	TARA_B100000885	TARA_B100000965	TARA_B100000959	TARA_B100000963	TARA_B100000902	TARA_B100000953	TARA_B100000900	TARA_B100000918	TARA_B100000920	TARA_B100000916	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001111	TARA_B100001076	TARA_B100001107	TARA_B100000579	TARA_B100000575	TARA_B100000943	TARA_B100000939	TARA_B100000593	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100001230	TARA_B100001228	TARA_B100000611	TARA_B100000603	TARA_B100000624	TARA_B100000622	TARA_B100000639	TARA_B100000651	TARA_B100000637	TARA_B100000660	TARA_B100001242	TARA_B100000658	TARA_B100001090	TARA_B100001089	TARA_B100001261	TARA_B100001263	TARA_B100001275	TARA_B100001977	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100001989	TARA_B100002010	TARA_B100002017	TARA_B100001937	TARA_B100002056	TARA_B100002046	TARA_B100002054	TARA_B100001217	TARA_B100001215	TARA_B100001196	TARA_B100001139	TARA_B100001135	TARA_B100001158	TARA_B100001750	TARA_B100001741	TARA_B100001765	TARA_B100001758	TARA_B100001776	TARA_B100001769	TARA_B100001557	TARA_B100001564	TARA_B100001171	TARA_B100001297	TARA_B100002033	TARA_B110001437	TARA_B110001435	TARA_B110001446	TARA_B110001444	TARA_B110000200	TARA_B110001467	TARA_B110000044	TARA_B110000035	TARA_B110000023	TARA_B110000085	TARA_B110000083	TARA_B110000122	TARA_B110000110	TARA_B110000112	TARA_B110000204	TARA_B110000501	TARA_B110000206	TARA_B110000235	TARA_B110000233	TARA_B110000255	TARA_B110000253	TARA_B110000257	TARA_B110000283	TARA_B110000975	TARA_B110000966	TARA_B110000969	TARA_B110000303	TARA_B110000906	TARA_B110000901	TARA_B110000875	TARA_B110000494	TARA_B110000481	TARA_B110000857	TARA_B110000465	TARA_B110000457	TARA_B110000436	TARA_B110000442
OM-RGC.v2.015560861	0	0	0	0	0	0	0	0	0	0	0	1.24215246636771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009046111	0	0	0	0	0	0	0	0	0	0	0	5.37800687285223	0	0.856815578465063	1317.26804123711	2.99770904925544	0	6.60252004581901	2.74684994272623	104.444444444444	0	0	0	0	0	0	0	0	0	6.07560137457045	0	0.168384879725086	0	0	0	0	4.04352806414662	0	1.91981672394044	1.64032073310424	0.43298969072165	0.288659793814433	1.3745704467354	0	6.60481099656357	0	0	0	0	0	0	0	0	1.25544100801833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174112256586483	0.41008018327606	2.15463917525773	0	0	0	0	0.0985108820160367	1.92096219931271	1.71477663230241	0	0	0	0	0	0	0.0962199312714777	0	0	0	4.81672394043528	0	0	0	3.70586946577796	5.21305100666013	0	1.11824767367821	12.2721406004362	0	0.428407789232531	0	0	0.287514318442153	0	0	3.17640320733104	0	0	3.553264604811	4.1454753722795	0.167239404352806	0	4.48568155784651	0	0	0	0	1.13058419243986	8.88201603665521	0	0	0	0	0	0	0	0	1.94501718213058	0	0	2.45017182130584	40.8557789111011	0	10.5876288659794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.008781354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0564971751412429	0	0	0	0	0.103954802259887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.011488497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.542307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009268969	0	0	0	3.66666666666667	0	0	0	19.3506944444444	5.79861111111111	0	0	0	0	0.134259259259259	0	0	0	0	0.532407407407407	2.15393518518519	0.596064814814815	0	0	0	0	0	0	5.20486111111111	9.95486111111111	0	0	0	0	0	0	0	0	0	0	0	0	560.946759259259	40.2627314814815	2424.88425925926	40.6030092592593	19095.3252314815	1650.35532407407	0	47.6643518518519	0	0	0	0.327546296296296	3.44097222222222	1.01157407407407	0	0	0	0	0	0	0	0	0	0	0	0	0	4.16898148148148	280.050925925926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6527777777778	0.854166666666667	0	30.7430555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196759259259259	0.761574074074074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.008994097	0	0	0	0.211187214611872	0	0	0	0	0	0	0	0	0	0	0	0	51.2305936073059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5513698630137	0	0.0610660816558931	0	0	0	0	0	12.7420091324201	1.66552511415525	0.837899543378995	0	3.89383561643836	0	3.43150684931507	0	0	15.7534246575342	0	0	27.4840182648402	48.8367579908676	1.45319634703196	12.162100456621	15.9977168949772	4.25342465753425	0.514840182648402	0.112662022306327	1.70433789954338	0	0.674657534246575	0	0	0	0.582191780821918	0.3162100456621	0	0	0.0365296803652968	0	0.813926940639269	1.23744292237443	0.127853881278539	0	0.356164383561644	0	1.85502283105023	0	7.33561643835616	0	0.0385336771946277	0	182.684931506849	0	78.6552511415524	0	66.6609589041096	0	0	0	0.71689497716895	0	158.280821917808	4.84931506849315	2.92922374429224	163.19406392694	0	10.9874429223744	0.335616438356164	3.68835616438356	0	30.6700913242009	0	0	2.21232876712329	2.65068493150685	0.563926940639269	0	0	0	3.99429223744292	1.85388127853881	22.9965753424658	35.7431506849315	0	14.4646118721461	25.4212328767123	0	6.78196347031963	0	90.0079908675798	0.313926940639269	17.2180365296804	0	0	0	0.0490867579908676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009066319	0	0	0	0	0	0	0	0	0.0641466208476518	0	0	0	0	0	0	0	0.403207331042383	1.31958762886598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76975945017182	0	0	26.8327605956472	0	1.50744558991982	0	0	0.793814432989691	0	0	0.50057273768614	2.43871706758305	0.715922107674685	0.998854524627721	14.2359679266896	31.4089347079038	70.7331042382589	58.4788087056128	1.09392898052692	0	2.32073310423826	0	0	0.0778923253150057	1.81901489117984	5.94043528064147	0.61397479954181	0.928980526918671	7.48109965635739	0	6.25085910652921	0.219931271477663	5.9049255441008	64.6114272123435	253.444451857028	0	1.12943871706758	119.336106822244	3.1786941580756	0	0	0.163802978235968	0	0	0	0	0	0	0	0	0	0	1.25085910652921	1.83619702176403	0	0	0.702176403207331	0	0	0	0	0	0	1.26575028636884	0.217640320733104	0	0.0549828178694158	0	0.0604656550445963	0	0	1.82806988614981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.008863533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054421768707483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.498866213151927	0	0	0	0	0	0	0	0	0	0	0	0	5.18480725623583	0	1.26643990929705	0	0	0	0	0	2.35374149659864	0	0	0	0	0	0	0	0	1.31859410430839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.013227150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.255144032921811	1.09053497942387	0	0	1.97119341563786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32098765432099	1.02469135802469	0.764060356652949	14.7037037037037	0.0137174211248285	0.0178326474622771	0	0	0	0	0	0	0	0	0	0	0	0	0.718792866941015	0	0	0.902606310013717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98491083676269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0867125969081858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.008864361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.712018140589569	0	5.6281179138322	0	0	0	0	0	0.212018140589569	0	0	0	0.405895691609977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18480725623583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
