Representative 1	Representative 2	Co-expression Pearson r	Representative 2 type	Representative 2 annotation
OM-RGC.v2.000305863	OM-RGC.v2.027161989	0.984190251209591	GC	NA
OM-RGC.v2.027161989	OM-RGC.v2.000305863	0.984190251209591	GC	NA
OM-RGC.v2.000269992	OM-RGC.v2.012350499	0.984178793110718	GC	NA
OM-RGC.v2.012350499	OM-RGC.v2.000269992	0.984178793110718	GC	NA
OM-RGC.v2.002790163	OM-RGC.v2.028585463	0.983865792179435	GC	NA
OM-RGC.v2.028585463	OM-RGC.v2.002790163	0.983865792179435	GC	NA
OM-RGC.v2.006246894	OM-RGC.v2.000909399	0.983837547651872	GC	NA
OM-RGC.v2.007258461	OM-RGC.v2.022730264	0.983830880836255	GC	NA
OM-RGC.v2.033212879	OM-RGC.v2.035225356	0.983787075746816	GC	NA
OM-RGC.v2.035225356	OM-RGC.v2.033212879	0.983787075746816	GC	NA
OM-RGC.v2.013507245	OM-RGC.v2.026613508	0.983772670509372	GC	NA
OM-RGC.v2.002580039	OM-RGC.v2.027298258	0.983761316964365	GC	NA
OM-RGC.v2.011021701	110XH	0.983715785354728	OG	NA
OM-RGC.v2.042560496	OM-RGC.v2.000366422	0.983670432784839	GC	NA
OM-RGC.v2.000390642	OM-RGC.v2.017702317	0.983635640348296	GC	NA
OM-RGC.v2.017091229	OM-RGC.v2.011021694	0.983628652001562	GC	NA
OM-RGC.v2.011021694	OM-RGC.v2.017091229	0.983628652001562	GC	NA
OM-RGC.v2.021454484	OM-RGC.v2.017702317	0.98354962709315	GC	NA
OM-RGC.v2.005768387	OM-RGC.v2.008705073	0.983464461547673	GC	NA
OM-RGC.v2.008705073	OM-RGC.v2.005768387	0.983464461547673	GC	NA
OM-RGC.v2.019018951	OM-RGC.v2.000293339	0.98308557697964	GC	NA
OM-RGC.v2.019653405	OM-RGC.v2.002988779	0.98304512169723	GC	NA
OM-RGC.v2.025751675	OM-RGC.v2.019653405	0.983010453129759	GC	NA
OM-RGC.v2.009257213	OM-RGC.v2.025861852	0.982885607079482	GC	NA
OM-RGC.v2.001491177	OM-RGC.v2.010366449	0.982626438901541	GC	NA
OM-RGC.v2.012552861	OM-RGC.v2.000640380	0.982603347289769	GC	NA
OM-RGC.v2.002718035	OM-RGC.v2.000210882	0.982596187018155	GC	NA
OM-RGC.v2.034324196	OM-RGC.v2.014431027	0.982181121842918	GC	NA
OM-RGC.v2.014431027	OM-RGC.v2.034324196	0.982181121842918	GC	NA
OM-RGC.v2.021249587	OM-RGC.v2.019653405	0.981860620659506	GC	NA
OM-RGC.v2.036306788	OM-RGC.v2.015430363	0.981671006537598	GC	NA
OM-RGC.v2.000316340	OM-RGC.v2.000330119	0.981657251368675	GC	NA
OM-RGC.v2.011199229	OM-RGC.v2.042560496	0.981379592942206	GC	NA
OM-RGC.v2.001645540	OM-RGC.v2.027298258	0.981308544418445	GC	NA
OM-RGC.v2.002500492	OM-RGC.v2.000035003	0.981266091548649	GC	NA
OM-RGC.v2.009398390	OM-RGC.v2.042560496	0.981080710678183	GC	NA
OM-RGC.v2.020282319	OM-RGC.v2.001330931	0.981032163509347	GC	NA
OM-RGC.v2.009762760	OM-RGC.v2.018847316	0.981017225551541	GC	NA
OM-RGC.v2.018847316	OM-RGC.v2.009762760	0.981017225551541	GC	NA
OM-RGC.v2.006065393	OM-RGC.v2.002002720	0.980941555924217	GC	NA
OM-RGC.v2.030486867	OM-RGC.v2.008769222	0.980932862493854	GC	NA
OM-RGC.v2.008769222	OM-RGC.v2.030486867	0.980932862493854	GC	NA
OM-RGC.v2.031951855	OM-RGC.v2.020470361	0.980824001302671	GC	NA
OM-RGC.v2.008445949	OM-RGC.v2.043080226	0.98078843533652	GC	NA
OM-RGC.v2.043080226	OM-RGC.v2.008445949	0.98078843533652	GC	NA
OM-RGC.v2.010291429	OM-RGC.v2.012971822	0.98072657140767	GC	NA
OM-RGC.v2.035002680	OM-RGC.v2.027468288	0.98053425411606	GC	NA
OM-RGC.v2.027468288	OM-RGC.v2.035002680	0.98053425411606	GC	NA
OM-RGC.v2.010052832	OM-RGC.v2.008440489	0.980444210221671	GC	NA
OM-RGC.v2.008440489	OM-RGC.v2.010052832	0.980444210221671	GC	NA
OM-RGC.v2.013865421	OM-RGC.v2.012264984	0.980330950304083	GC	NA
OM-RGC.v2.033428881	OM-RGC.v2.019369288	0.980270177960153	GC	NA
OM-RGC.v2.033132481	OM-RGC.v2.039227799	0.980145116419784	GC	NA
OM-RGC.v2.027866091	OM-RGC.v2.029459104	0.980138052730599	GC	NA
OM-RGC.v2.012052665	OM-RGC.v2.033132481	0.980032048676065	GC	NA
OM-RGC.v2.033432731	OM-RGC.v2.033132481	0.979995053516887	GC	NA
OM-RGC.v2.027298563	OM-RGC.v2.027866091	0.979930665888133	GC	NA
OM-RGC.v2.006538426	OM-RGC.v2.011199229	0.979781007676572	GC	NA
OM-RGC.v2.033281435	OM-RGC.v2.009043546	0.979639501756672	GC	NA
OM-RGC.v2.038480642	OM-RGC.v2.017702317	0.97942949180841	GC	NA
OM-RGC.v2.007506733	OM-RGC.v2.010057753	0.979378770741088	GC	NA
OM-RGC.v2.010057753	OM-RGC.v2.007506733	0.979378770741088	GC	NA
OM-RGC.v2.033580114	OM-RGC.v2.016311885	0.979372703980133	GC	NA
OM-RGC.v2.023181547	OM-RGC.v2.008445949	0.979350463240997	GC	NA
OM-RGC.v2.013681446	OM-RGC.v2.036788327	0.979219365662886	GC	NA
